# VTK  15 Delta
* 03-06-2025 12:36:51
#X: 51504 - Y: 418503
#00 DONARLOCATIE: GTS-06
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  51504  418503 20250603 123701    1.00   27.34   17.01   8.15 8.76     108   38.92    4153   29.83   16871    0.88      1.42    8.74
  51504  418503 20250603 123711    0.99   30.55   17.03   8.15 8.75     108   38.93    4152   29.83   16868    0.76      1.47    8.74
  51504  418503 20250603 123730    2.00    0.00   17.03   8.15 8.75     108   38.93    4152   29.83   16870    1.04      1.47    8.74
  51504  418503 20250603 123748    2.99    0.83   17.01   8.15 8.74     108   38.92    4152   29.83   16870    1.20      1.59    8.73
  51504  418503 20250603 123836    4.01   32.45   16.10   8.08 7.72      94   38.29    4169   29.97   16952    1.15      1.59    7.70
  51504  418503 20250603 123852    5.01   31.72   15.98   8.09 7.67      93   38.23    4175   30.01   16979    1.40      1.58    7.66
  51504  418503 20250603 123909    5.96   24.51   16.00   8.09 7.71      94   38.23    4173   30.00   16970    1.15      1.65    7.69
  51504  418503 20250603 123925    7.05   29.35   15.92   8.09 7.74      94   38.24    4182   30.07   17012    1.16      1.64    7.73
  51504  418503 20250603 123942    7.96   28.52   15.77   8.07 7.67      93   38.26    4197   30.19   17081    0.75      1.54    7.66
  51504  418503 20250603 124007    9.02   15.62   15.71   8.05 7.37      89   38.32    4210   30.29   17141    0.73      1.51    7.36
  51504  418503 20250603 124025    9.97   25.70   15.73   8.05 7.35      89   38.56    4234   30.49   17256    0.61      1.67    7.34
  51504  418503 20250603 124054   10.98   25.44   15.55   8.03 7.16      86   38.45    4239   30.53   17280    0.41      1.66    7.14
  51504  418503 20250603 124111   12.04   24.42   15.56   8.02 7.07      85   38.49    4243   30.56   17296    0.29      1.63    7.06
  51504  418503 20250603 124127   13.03   23.50   15.56   8.02 7.06      85   38.57    4251   30.62   17334    0.29      1.70    7.05
  51504  418503 20250603 124158   14.00   11.75   15.20   8.00 6.72      81   38.19    4244   30.57   17304    0.32      1.88    6.71
  51504  418503 20250603 124214   15.01    5.38   15.19   8.00 6.61      79   38.19    4246   30.59   17314    0.32      1.85    6.60
  51504  418503 20250603 124230   16.04   16.70   15.06   7.99 6.54      78   38.10    4248   30.60   17323    0.26      1.82    6.52
  51504  418503 20250603 124303   16.99   18.14   14.79   7.97 6.17      73   37.88    4250   30.62   17335    0.28      1.90    6.15
  51504  418503 20250603 124342   18.04    5.46   14.05   7.92 5.38      63   37.11    4237   30.52   17278    0.32      1.81    5.37
  51504  418503 20250603 124437   19.00   18.31   11.27   7.81 3.56      39   34.46    4201   30.24   17126    0.17      1.72    3.55
  51504  418503 20250603 124513   19.97   16.76   10.35   7.75 2.80      30   33.58    4188   30.14   17068    0.18      1.61    2.80
  51504  418503 20250603 124605   21.04   15.77    9.64   7.70 2.10      22   32.94    4181   30.08   17039    0.11      1.70    2.10
  51504  418503 20250603 124635   22.05   14.02    9.28   7.68 1.83      19   32.61    4176   30.05   17019    0.09      1.77    1.83
  51504  418503 20250603 124720   23.09   13.70    9.28   7.67 1.66      17   32.62    4178   30.06   17027    0.16      1.91    1.65
  51504  418503 20250603 124742   23.98   13.03    9.03   7.66 1.54      16   32.39    4174   30.03   17011    0.08      1.86    1.54
  51504  418503 20250603 124812   24.99   12.07    8.88   7.66 1.42      15   32.26    4173   30.02   17006    0.10      1.84    1.42
  51504  418503 20250603 124832   25.99   11.25    8.61   7.65 1.32      14   32.00    4169   29.99   16989    0.10      1.74    1.32
  51504  418503 20250603 124902   27.00   10.07    8.48   7.64 1.21      13   31.88    4168   29.98   16983    0.17      1.83    1.21
  51504  418503 20250603 124923   28.00    8.77    8.24   7.64 1.11      11   31.65    4163   29.94   16961    0.09      1.88    1.11
  51504  418503 20250603 124957   29.05    7.36    8.09   7.63 1.02      10   31.54    4165   29.96   16970    0.13      2.13    1.02
  51504  418503 20250603 125014   29.97    6.45    8.02   7.63 0.97      10   31.47    4162   29.94   16959    0.15      2.28    0.96
