# VTK  14 Delta
* 03-06-2025 12:21:28
#X: 52865 - Y: 420219
#00 DONARLOCATIE: GTS-07
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  52865  420219 20250603 122140    1.06   10.01   16.64   8.12 8.19     101   38.58    4151   29.82   16864    0.64      1.48    8.18
  52865  420219 20250603 122150    0.95   10.06   16.63   8.12 8.20     101   38.58    4151   29.82   16866    0.57      1.43    8.18
  52865  420219 20250603 122209    2.04    8.95   16.62   8.12 8.19     101   38.57    4151   29.82   16866    0.75      1.41    8.18
  52865  420219 20250603 122228    2.97    8.07   16.59   8.11 8.15     100   38.54    4151   29.83   16867    1.10      1.45    8.13
  52865  420219 20250603 122245    4.06    6.96   16.60   8.11 8.15     100   38.55    4151   29.82   16866    0.84      1.46    8.13
  52865  420219 20250603 122302    4.96    6.06   16.61   8.12 8.15     100   38.55    4151   29.82   16864    0.79      1.45    8.14
  52865  420219 20250603 122319    6.06    4.89   16.58   8.11 8.14     100   38.54    4152   29.83   16868    0.77      1.35    8.13
  52865  420219 20250603 122343    7.01    3.85   16.54   8.11 8.08      99   38.50    4151   29.82   16864    0.71      1.41    8.06
  52865  420219 20250603 122401    8.03    2.88   16.53   8.11 8.04      99   38.49    4151   29.82   16866    0.87      1.39    8.03
  52865  420219 20250603 122442    9.03    2.15   16.28   8.07 7.49      91   38.32    4156   29.86   16890    0.45      1.46    7.48
  52865  420219 20250603 122533   10.02    1.28   15.73   7.97 6.44      78   38.12    4185   30.10   17030    0.25      1.59    6.43
