# VTK  10 Delta
* 03-06-2025 11:17:52
#X: 57565 - Y: 418768
#00 DONARLOCATIE: GTS-11
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  57565  418768 20250603 111807    1.01   15.26   17.32   8.17 8.58     107   39.19    4153   29.84   16871    0.57      1.40    8.57
  57565  418768 20250603 111817    1.02   15.21   17.33   8.17 8.60     107   39.20    4153   29.84   16872    0.45      1.37    8.59
  57565  418768 20250603 111835    1.97   13.77   17.31   8.17 8.59     107   39.18    4153   29.84   16870    0.67      1.32    8.58
  57565  418768 20250603 111852    2.99   13.31   17.29   8.17 8.58     107   39.17    4154   29.84   16875    0.87      1.33    8.57
  57565  418768 20250603 111926    4.04   11.77   17.30   8.17 8.56     107   39.18    4153   29.84   16873    0.82      1.39    8.55
  57565  418768 20250603 111942    5.05   10.69   17.28   8.17 8.56     106   39.17    4155   29.85   16880    0.70      1.39    8.54
  57565  418768 20250603 112002    6.03    9.46   17.28   8.17 8.52     106   39.17    4155   29.85   16882    0.70      1.33    8.51
  57565  418768 20250603 112018    7.04    8.53   17.28   8.17 8.52     106   39.18    4156   29.86   16886    0.73      1.42    8.51
  57565  418768 20250603 112034    8.02    7.17   17.28   8.16 8.48     106   39.20    4158   29.87   16893    0.64      1.28    8.47
  57565  418768 20250603 112059    8.99    6.22   17.29   8.15 8.35     104   39.23    4160   29.89   16902    0.52      1.39    8.33
  57565  418768 20250603 112114    9.97    5.19   17.24   8.15 8.31     103   39.20    4161   29.90   16911    0.40      1.37    8.30
  57565  418768 20250603 112224   10.99    3.65   17.06   8.13 7.97      99   39.04    4162   29.90   16912    0.34      1.40    7.95
  57565  418768 20250603 112301   12.02    2.53   16.84   8.11 7.66      94   38.82    4158   29.88   16896    0.41      1.36    7.65
  57565  418768 20250603 112345   12.98    1.30   16.34   8.05 6.74      82   38.40    4160   29.89   16907    0.23      1.58    6.73
