# VTK  1 Delta
* 03-06-2025 08:03:10
#X: 69173 - Y: 410920
#06 PROJECTCODE: GTS
#00 DONARLOCATIE: GTS-20
#08 WAARNEMER(S): Hartman
#21 MEETGEBIED: GREVELINGEN
#22 STARTPUNT: GTS-20
#23 EINDPUNT: GTS-01
#51 OPDRACHTGEVER: CIV
#52 BEHEERDER: MOBIELMETEN
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  69173  410920 20250603 80329    1.02    6.43   17.60   8.12 8.27     103   37.88    3989   28.53   16116    1.75      1.62    8.25
  69173  410920 20250603 80339    1.02    6.50   17.58   8.12 8.28     103   37.86    3988   28.52   16112    1.93      1.64    8.26
  69173  410920 20250603 80400    1.99    5.57   17.83   8.10 8.16     102   39.04    4091   29.34   16584    1.56      1.67    8.15
  69173  410920 20250603 80552    3.02    5.21   17.91   8.04 7.39      93   39.54    4137   29.70   16792    0.68      1.43    7.37
  69173  410920 20250603 80612    4.01    4.27   17.86   8.04 7.31      92   39.57    4144   29.76   16826    0.73      1.38    7.30
  69173  410920 20250603 80630    5.06    3.28   17.84   8.04 7.27      91   39.57    4146   29.78   16833    0.58      1.54    7.26
  69173  410920 20250603 80654    5.98    2.53   17.81   8.03 7.14      90   39.54    4145   29.77   16832    0.46      1.41    7.13
  69173  410920 20250603 80718    7.02    1.74   17.82   8.03 7.09      89   39.54    4145   29.77   16830    0.58      1.52    7.07
  69173  410920 20250603 80735    8.01    0.75   17.69   8.03 7.05      88   39.45    4147   29.79   16842    0.44      1.79    7.04
