# VTK  5 Delta
* 03-06-2025 09:11:22
#X: 65143 - Y: 412068
#00 DONARLOCATIE: GTS-16
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  65143  412068 20250603 91245    0.99   11.72   17.92   8.13 8.13     102   39.07    4086   29.30   16560    1.19      1.59    8.12
  65143  412068 20250603 91255    1.00   14.60   17.89   8.13 8.09     101   39.04    4087   29.30   16561    0.96      1.67    8.07
  65143  412068 20250603 91314    2.02   13.54   17.85   8.12 7.94     100   39.05    4090   29.33   16579    0.87      1.60    7.93
  65143  412068 20250603 91333    2.96   12.44   17.85   8.11 7.83      98   39.10    4096   29.38   16603    0.92      1.65    7.81
  65143  412068 20250603 91350    4.06   11.30   17.97   8.13 7.85      99   39.32    4107   29.47   16655    0.90      1.70    7.84
  65143  412068 20250603 91413    4.98   10.33   18.01   8.14 8.05     101   39.46    4119   29.56   16708    1.13      1.46    8.04
  65143  412068 20250603 91438    5.99    9.40   18.04   8.14 8.10     102   39.51    4122   29.58   16722    0.98      1.51    8.09
  65143  412068 20250603 91454    6.97    8.47   18.04   8.14 8.11     102   39.54    4124   29.60   16734    1.08      1.58    8.10
  65143  412068 20250603 91513    8.01    7.59   18.01   8.14 8.17     103   39.63    4137   29.71   16793    0.98      1.46    8.16
  65143  412068 20250603 91535    8.96    6.70   18.02   8.14 8.20     103   39.68    4141   29.74   16811    1.03      1.39    8.19
  65143  412068 20250603 91714   10.05    6.02   18.08   8.13 8.18     103   39.77    4145   29.77   16830    1.05      1.46    8.17
  65143  412068 20250603 91731   10.94    4.99   18.11   8.13 8.11     102   39.84    4149   29.80   16848    0.87      1.38    8.10
  65143  412068 20250603 91756   12.04    3.76   18.11   8.13 8.05     102   39.88    4154   29.84   16872    0.82      1.44    8.04
  65143  412068 20250603 91822   13.00    3.22   18.10   8.13 8.03     102   39.91    4157   29.87   16887    0.69      1.44    8.02
  65143  412068 20250603 91855   13.99    2.29   18.05   8.12 7.91     100   39.88    4159   29.88   16896    0.64      1.58    7.90
  65143  412068 20250603 91922   14.98   31.50   17.96   8.10 7.62      96   39.80    4159   29.88   16894    0.61      1.81    7.61
