# VERTIKAAL 4 M.C.ECOS 6 VERTIKAAL
* 15-11-2024 10:39:46
#X: 72570 - Y: 408770
#00 DONARLOCATIE: ZTS-12
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1029>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  72570  408770 20241115 103946    1.03   10.76   10.60   8.10    1.10     137    0.77     324    0.68    0.78    0.26
  72570  408770 20241115 103953    1.94    9.11   10.60   8.09    1.11     137    0.77     324    0.73    0.68    0.22
  72570  408770 20241115 103955    2.90    8.09   10.60   8.09    1.11     137    0.77     325    0.71    0.68    0.29
  72570  408770 20241115 103958    3.97    7.00   10.59   8.09    1.11     138    0.78     327    0.71    0.74    0.30
  72570  408770 20241115 104000    4.89    5.90   10.59   8.09    1.12     138    0.78     329    0.72    0.74    0.16
  72570  408770 20241115 104002    5.92    5.05   10.58   8.09    1.12     139    0.78     332    0.64    0.69    0.30
  72570  408770 20241115 104004    6.98    4.16   10.58   8.09    1.13     140    0.79     334    0.51    0.74    0.22
  72570  408770 20241115 104007    8.09    3.11   10.60   8.09    1.16     144    0.81     347    0.62    0.66    0.35
  72570  408770 20241115 104009    8.92    2.13   10.96   8.04    1.55     190    1.09     508    0.51    0.81    0.25
  72570  408770 20241115 104012    9.99    1.26   11.04   7.98    1.64     201    1.15     545    0.42    0.76    0.19
