# VERTIKAAL 19 M.C.ECOS 6 VERTIKAAL
* 14-11-2024 16:11:20
#X: 79391 - Y: 372226
#00 DONARLOCATIE: ZTS-46
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par18.dat
## TLU        oC <-->
## LUCHTDK    hPa <1029>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  79391  372226 20241114 161120    0.94   14.86   14.12   7.87   10.66    1215    7.80    4341    0.39    3.78    0.04
  79391  372226 20241114 161134    1.89   13.61   14.12   7.87   10.66    1214    7.80    4338    0.46    3.58    0.21
  79391  372226 20241114 161137    2.97   12.76   14.12   7.87   10.66    1214    7.80    4338    0.46    3.58    0.08
  79391  372226 20241114 161139    3.91   11.75   14.12   7.87   10.66    1215    7.80    4341    0.41    3.70    0.11
  79391  372226 20241114 161141    4.89   11.01   14.12   7.87   10.67    1215    7.80    4342    0.40    3.63    0.09
  79391  372226 20241114 161144    5.89   10.16   14.13   7.86   10.68    1217    7.81    4349    0.45    3.68    0.10
  79391  372226 20241114 161146    6.89    9.19   14.13   7.86   10.70    1219    7.83    4358    0.40    3.78    0.09
  79391  372226 20241114 161149    7.96    8.04   14.14   7.86   10.74    1223    7.86    4372    0.41    3.94    0.03
  79391  372226 20241114 161151    8.90    7.04   14.14   7.86   10.79    1229    7.90    4395    0.51    4.07    0.22
  79391  372226 20241114 161154    9.95    6.11   14.13   7.86   10.87    1239    7.96    4432    0.41    4.41    0.07
  79391  372226 20241114 161156   10.95    5.21   14.12   7.86   10.93    1246    8.01    4460    0.53    4.49    0.08
  79391  372226 20241114 161200   11.90    4.48   14.10   7.86   11.10    1265    8.15    4536    0.42    5.15    0.22
  79391  372226 20241114 161204   12.90    3.14   14.09   7.86   11.19    1276    8.23    4579    0.40    5.39    0.06
  79391  372226 20241114 161206   13.91    2.28   14.06   7.86   11.34    1294    8.35    4649    0.45    6.36    0.16
  79391  372226 20241114 161209   14.88    1.55   14.00   7.86   11.72    1339    8.66    4824    0.45    7.43    0.29
