# VERTIKAAL 1 Roompot
* 13-11-2025 09:08:25
#X: 80104 - Y: 408003
#06 PROJECTCODE: ATS ZTS
#00 DONARLOCATIE: ZTS-07
#08 WAARNEMER(S): Bernaards
#21 MEETGEBIED: VOLKERAK/ZOOMMEER
#22 STARTPUNT: steenbergen
#23 EINDPUNT: zts 46
#51 OPDRACHTGEVER: CIV
#52 BEHEERDER: MOBIELMETEN
@ par1.dat
## LUCHTDK    hPa <1007>

~     X       Y    DATUM   TIJD SENSHTE       T     pH   O2     %O2   GELBH  SALNTT     CL- CHLFRFU    TURBID  PHYCOUGL
  80104  408003 20251113 90851    0.96   10.83   8.33 10.5      96    0.89    0.61     235    0.46      1.32     -0.81
  80104  408003 20251113 90910    2.06   10.83   8.33 10.5      96    0.89    0.61     234    0.47      1.41     -0.81
  80104  408003 20251113 90923    3.08   10.83   8.33 10.5      96    0.89    0.61     235    0.53      1.34     -0.86
  80104  408003 20251113 90935    4.09   10.82   8.33 10.5      96    0.89    0.61     236    0.49      1.45     -0.78
  80104  408003 20251113 90949    5.08   10.82   8.33 10.5      96    0.89    0.61     237    0.48      1.29     -0.83
  80104  408003 20251113 91006    6.07   10.82   8.33 10.5      96    0.90    0.62     239    0.49      1.26     -0.85
  80104  408003 20251113 91023    7.06   10.82   8.33 10.5      96    0.89    0.61     237    0.45      1.27     -0.86
  80104  408003 20251113 91033    7.96   10.82   8.33 10.5      96    0.89    0.62     238    0.41      1.32     -0.85
  80104  408003 20251113 91045    9.08   10.83   8.33 10.5      96    0.89    0.61     237    0.51      1.35     -0.80
  80104  408003 20251113 91101   10.02   10.82   8.33 10.5      96    0.90    0.62     240    0.45      1.40     -0.88
  80104  408003 20251113 91116   11.12   10.82   8.33 10.4      96    0.90    0.62     241    0.51      1.32     -0.81
  80104  408003 20251113 91147   12.99   10.82   8.32 10.4      95    0.91    0.63     246    0.45      1.61     -0.86
  80104  408003 20251113 91158   14.09   10.82   8.32 10.4      95    0.93    0.64     252    0.40      1.79     -0.80
  80104  408003 20251113 91215   15.08   10.83   8.32 10.4      95    0.95    0.65     259    0.34      1.73     -0.85
  80104  408003 20251113 91225   16.05   10.84   8.31 10.4      95    0.98    0.67     271    0.33      2.33     -0.83
  80104  408003 20251113 91227   16.09   10.84   8.31 10.4      95    0.98    0.67     272    0.21      2.41     -0.91
