# VERTIKAAL 5 Roompot
* 14-11-2025 10:00:16
#X: 73301 - Y: 407656
#00 DONARLOCATIE: ZTS-11
#08 WAARNEMER(S): Bernaards
@ par5.dat
## LUCHTDK    hPa <1005>

~     X       Y    DATUM   TIJD SENSHTE       T     pH   GELBH  SALNTT     CL- CHLFRFU    TURBID  PHYCOUGL
  73298  407659 20251114 100053    0.99   10.95   8.23    1.36    0.95     426    1.28      0.82     -0.60
  73298  407659 20251114 100100    2.00   10.95   8.22    1.36    0.95     426    1.12      0.85     -0.59
  73298  407659 20251114 100103    3.00   10.95   8.23    1.36    0.95     426    1.07      0.81     -0.59
  73298  407659 20251114 100106    3.99   10.94   8.21    1.35    0.95     426    1.01      0.78     -0.71
  73298  407659 20251114 100113    4.97   10.94   8.22    1.36    0.95     427    0.73      0.81     -0.77
  73298  407659 20251114 100115    5.97   10.94   8.23    1.36    0.95     427    0.67      0.80     -0.77
  73298  407659 20251114 100118    7.12   10.93   8.23    1.37    0.96     432    0.61      0.83     -0.82
  73298  407659 20251114 100120    8.08   10.92   8.23    1.39    0.97     439    0.53      0.80     -0.87
  73298  407659 20251114 100122    8.95   10.91   8.23    1.40    0.98     444    0.39      0.82     -0.71
  73298  407659 20251114 100129    9.88   10.89   8.20    1.55    1.09     511    0.23      0.80     -0.83
