# VERTIKAAL 6 Roompot
* 14-11-2025 10:04:51
#X: 72719 - Y: 408469
#00 DONARLOCATIE: ZTS-12
#08 WAARNEMER(S): Bernaards
@ par5.dat
## LUCHTDK    hPa <1005>

~     X       Y    DATUM   TIJD SENSHTE       T     pH   GELBH  SALNTT     CL- CHLFRFU    TURBID  PHYCOUGL
  72719  408469 20251114 100546    0.90   10.91   8.24    1.28    0.89     396    1.31      0.76     -0.39
  72719  408469 20251114 100551    2.05   10.91   8.25    1.28    0.89     396    1.28      0.88     -0.56
  72719  408469 20251114 100554    3.06   10.91   8.25    1.28    0.89     396    1.23      0.89     -0.54
  72719  408469 20251114 100557    3.97   10.91   8.24    1.28    0.89     396    1.21      0.76     -0.58
  72719  408469 20251114 100600    4.98   10.90   8.24    1.28    0.90     397    1.03      0.83     -0.61
  72719  408469 20251114 100604    5.92   10.90   8.25    1.30    0.91     402    0.85      0.80     -0.70
  72719  408469 20251114 100610    6.89   10.89   8.23    1.41    0.99     450    0.49      0.87     -0.99
  72719  408469 20251114 100613    7.89   10.89   8.23    1.45    1.02     469    0.57      0.91     -0.88
  72719  408469 20251114 100617    8.96   10.89   8.24    1.48    1.04     482    0.61      0.98     -0.78
  72719  408469 20251114 100622    9.91   10.89   8.23    1.54    1.09     508    0.64      1.02     -0.77
  72719  408469 20251114 100627   10.91   10.89   8.20    1.74    1.23     590    0.33      1.02     -0.82
