# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 05-02-2025 08:52:56
#X: 69280 - Y: 410950
#06 PROJECTCODE: GTS
#00 DONARLOCATIE: GTS-20
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: GREVELINGEN
#22 STARTPUNT: gts20
#23 EINDPUNT: gts01
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1036>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  69280  410950 20250205 85312    1.01    5.73    4.41   7.97 10.5      96   26.70    3886   27.77   15711    0.19    1.36
  69280  410950 20250205 85413    2.08    6.57    4.48   7.96 10.5      96   26.79    3892   27.82   15738    0.23    1.43
  69280  410950 20250205 85507    3.04    4.60    4.43   7.97 10.5      96   26.74    3890   27.80   15729    0.26    1.43
  69280  410950 20250205 85520    4.04    3.63    4.42   7.99 10.5      96   26.73    3888   27.79   15723    0.19    1.37
  69280  410950 20250205 85546    5.00    2.64    4.39   8.00 10.5      96   26.69    3887   27.78   15717    0.28    1.31
  69280  410950 20250205 85601    6.10    1.41    4.38   8.00 10.5      96   26.68    3886   27.77   15712    0.17    1.33
  69280  410950 20250205 85618    7.05   30.39    4.38   8.00 10.5      96   26.69    3888   27.79   15722    0.21    1.39
