# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 26-07-2024 08:41:26
#X: 71542 - Y: 392040
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1010>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71542  392040 20240726 84134    1.08    0.00   21.31   8.60 9.31     106    1.40     136    0.76     322    0.82    0.00   -0.35
  71515  392057 20240726 84201    2.00    0.00   21.32   8.60 9.27     105    1.40     137    0.76     323    0.79    0.00   -0.30
  71515  392057 20240726 84218    3.02    0.00   21.32   8.60 9.24     105    1.40     136    0.76     323    0.84    0.00   -0.30
  71514  392057 20240726 84232    3.90    0.00   21.32   8.60 9.25     105    1.40     136    0.76     323    0.83    0.00   -0.35
  71513  392059 20240726 84249    5.07    0.00   21.31   8.60 9.26     105    1.40     136    0.76     323    0.84    0.00   -0.27
  71513  392062 20240726 84303    5.96    0.00   21.29   8.59 9.24     105    1.40     137    0.76     323    0.77    0.00   -0.57
  71498  392066 20240726 84424    7.06    0.00   20.20   8.30 7.93      88    1.54     153    0.86     381    0.83    0.00   -0.61
  71498  392064 20240726 84541    8.02    0.00   19.61   8.17 7.56      83    1.52     153    0.86     380    0.76    0.00   -0.73
  71504  392064 20240726 84636    9.03    0.00   18.92   7.97 6.56      71    1.89     194    1.10     520    0.76    0.00   -0.56
  71516  392063 20240726 84754   10.03    0.00   18.56   7.79 5.20      56    2.67     275    1.59     790    0.83    0.00   -0.63
  71558  392074 20240726 84834   11.04    0.00   18.03   7.70 4.56      49    2.68     280    1.62     807    0.78    0.00   -0.40
  71557  392075 20240726 84938   12.03    0.00   17.77   7.65 3.99      43    2.79     292    1.70     849    0.81    0.00   -0.63
  71562  392070 20240726 85103   12.93    0.00   16.86   7.53 2.27      24    2.73     293    1.70     850    0.78    0.00   -0.54
  71536  392049 20240726 85204   13.94    0.00   16.26   7.46 0.99      10    2.83     307    1.79     899    0.79    0.00   -0.66
  71530  392050 20240726 85302   15.02    0.00   16.26   7.50 1.64      17    3.10     337    1.98    1004    0.78    0.00   -0.62
  71529  392043 20240726 85337   16.03    0.00   15.94   7.48 0.90       9    3.34     365    2.15    1101    0.80    0.00   -0.55
