# VERTIKAAL 7 M.C.ECOS 8 VERTIKAAL
* 26-07-2024 10:38:58
#X: 71729 - Y: 409434
#00 DONARLOCATIE: ZTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par7.dat
## TLU        oC <-->
## LUCHTDK    hPa <1011>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71729  409434 20240726 103906    1.01    0.00   21.21   8.72 10.1     115    1.32     128    0.71     295    1.50    0.00    0.21
  71721  409454 20240726 103923    2.03    0.00   21.21   8.72 10.1     115    1.32     129    0.72     297    1.66    0.00    0.15
  71721  409457 20240726 103950    2.99    0.00   21.19   8.72 10.0     114    1.32     129    0.72     296    1.46    0.00    0.32
  71720  409460 20240726 104006    4.06    0.00   21.17   8.72 10.0     113    1.32     129    0.72     296    1.41    0.00   -0.08
  71720  409461 20240726 104020    5.03    0.00   21.16   8.71 9.98     113    1.32     129    0.72     298    1.38    0.00   -0.13
  71719  409464 20240726 104041    6.03    0.00   21.12   8.68 9.83     111    1.36     133    0.74     310    1.36    0.00   -0.26
  71718  409471 20240726 104138    7.07    0.00   21.08   8.52 9.04     102    1.50     146    0.82     356    1.10    0.00   -0.65
  71717  409472 20240726 104210    7.98    0.00   21.04   8.47 8.71      99    1.52     149    0.83     364    1.06    0.00   -0.60
  71717  409469 20240726 104300    9.01    0.00   20.97   8.31 7.83      88    1.64     161    0.90     406    0.89    0.00   -0.63
  71717  409467 20240726 104339   10.08    0.00   21.00   8.32 7.82      89    2.35     230    1.31     646    0.87    0.00   -0.78
  71716  409463 20240726 104423   10.95    0.00   20.18   8.08 6.85      76    2.30     229    1.31     645    0.84    0.00   -0.60
  71714  409461 20240726 104451   12.03    0.00   19.92   7.98 6.43      71    2.31     232    1.33     653    0.83    0.00   -0.70
  71710  409461 20240726 104622   12.92    0.00   18.60   7.64 4.46      48    2.14     221    1.26     614    0.84    0.00   -0.54
  71708  409463 20240726 104713   14.09    0.00   18.24   7.56 3.43      37    2.16     225    1.29     629    0.76    0.00   -0.64
  71707  409468 20240726 104853   15.12    0.00   17.11   7.43 0.75       8    2.14     228    1.31     640    0.86    0.00   -0.62
  71708  409471 20240726 104930   16.10    0.00   16.70   7.42 0.41       4    2.12     228    1.31     641    0.80    0.00   -0.58
  71708  409472 20240726 104959   17.13    0.00   16.44   7.42 0.18       2    2.11     228    1.31     640    0.78    0.00   -0.73
  71708  409471 20240726 105019   18.11    0.00   15.84   7.42 0.12       1    2.08     228    1.31     640    0.86    0.00   -0.57
  71707  409471 20240726 105033   19.08    0.00   15.41   7.41 0.10       1    2.07     229    1.32     644    0.87    0.00   -0.67
  71707  409470 20240726 105048   19.99    0.00   15.27   7.41 0.10       1    2.07     229    1.32     646    0.87    0.00   -0.62
  71706  409469 20240726 105106   21.04    0.00   14.95   7.40 0.08       1    2.08     232    1.34     656    0.87    0.00   -0.49
