# VERTIKAAL 15 M.C.ECOS 8 VERTIKAAL
* 19-08-2024 12:34:31
#X: 45310 - Y: 396406
#00 DONARLOCATIE: VTS-14
#01 MEETPUNT: 1
#08 WAARNEMER(S): J. Hofman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  45310  396406 20240819 123505    0.97    9999   22.87   7.95 7.88     107   42.06    3963   28.30   15963    2.98    0.69
  45326  396411 20240819 123545    1.97    9999   22.85   7.94 7.76     106   42.07    3966   28.33   15977    3.48    0.72
  45332  396413 20240819 123616    3.08    9999   22.66   7.89 6.95      94   42.03    3978   28.42   16033    2.59    0.76
  45340  396418 20240819 123649    3.97    9999   22.85   7.86 5.96      82   43.77    4126   29.60   16713    1.25    0.35
  45343  396420 20240819 123658    4.90    9999   22.83   7.87 5.90      81   43.83    4134   29.67   16750    0.94    0.41
  45345  396422 20240819 123707    5.93    9999   22.72   7.86 5.80      80   44.03    4160   29.88   16874    0.47    0.43
  45347  396423 20240819 123715    6.90    9999   22.69   7.86 5.72      78   44.08    4169   29.95   16912    0.74    0.36
  45350  396425 20240819 123725    7.88    9999   22.66   7.86 5.64      77   44.12    4174   29.99   16939    0.35    0.47
  45352  396426 20240819 123732    8.92    9999   22.64   7.85 5.58      76   44.13    4177   30.02   16954    0.22    0.46
  45355  396428 20240819 123742    9.89    9999   22.63   7.85 5.51      75   44.14    4179   30.03   16962    0.26    0.49
  45359  396430 20240819 123752   10.96    9999   22.61   7.85 5.46      75   44.13    4180   30.04   16966    0.34    0.40
