#	VERTIKAAL	2	Roompot													
*	18-9-2025	07:46:06														
#X:	68913	-	Y:	411221												
#00	DONARLOCATIE:	GTS-19														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	68913	411221	20250918	74616	1.04	5.45	16.13	7.82	7.91	97	38.43	4183	30.08	17011	0.37	1.99
	68913	411221	20250918	74635	2.05	8.35	16.08	7.82	7.91	97	38.64	4210	30.29	17139	0.37	2.02
	68913	411221	20250918	74653	2.95	7.90	16.01	7.82	7.85	97	38.97	4252	30.63	17337	0.31	2.31
	68913	411221	20250918	74709	4.05	7.09	16.10	7.82	7.84	96	38.65	4209	30.29	17135	0.41	1.87
	68913	411221	20250918	74723	5.05	6.35	15.94	7.82	7.84	96	38.94	4256	30.66	17353	0.43	2.57
	68913	411221	20250918	74741	6.08	4.49	15.91	7.81	7.77	95	38.98	4262	30.71	17387	0.34	2.60
	68913	411221	20250918	74802	6.96	0.75	15.91	7.81	7.75	95	38.99	4265	30.74	17392	0.34	2.70
