#	VERTIKAAL	13	Roompot													
*	18-9-2025	09:59:07														
#X:	56317	-	Y:	420488												
#00	DONARLOCATIE:	GTS-10														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1019>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	56316	420489	20250918	95917	1	11.73	16.66	7.84	7.7	95	40.32	4336	31.3	17723	0.17	0.98
	56316	420489	20250918	95959	2.07	11.03	16.67	7.83	7.7	95	40.33	4336	31.31	17723	0.17	0.91
	56316	420489	20250918	100013	3.03	10.36	16.67	7.84	7.7	95	40.33	4336	31.31	17723	0.18	0.94
	56316	420489	20250918	100026	3.99	9.51	16.68	7.83	7.69	95	40.35	4337	31.31	17728	0.14	1.05
	56316	420489	20250918	100040	5.03	8.59	16.67	7.84	7.69	95	40.33	4336	31.31	17723	0.12	1.11
	56316	420489	20250918	100053	6.05	7.71	16.68	7.83	7.69	95	40.34	4337	31.31	17723	0.19	1.02
	56316	420489	20250918	100108	7.01	6.9	16.68	7.83	7.68	95	40.35	4337	31.31	17728	0.14	1.08
	56316	420489	20250918	100121	8.03	5.96	16.68	7.83	7.68	95	40.36	4337	31.32	17733	0.13	0.98
	56316	420489	20250918	100135	9.09	5.02	16.69	7.83	7.67	95	40.36	4338	31.32	17729	0.19	1.07
	56316	420489	20250918	100150	10.12	4	16.69	7.83	7.67	95	40.35	4337	31.31	17724	0.17	0.99
	56316	420489	20250918	100211	11.01	3.29	16.69	7.83	7.66	95	40.37	4338	31.32	17734	0.17	1.07
	56316	420489	20250918	100225	11.98	2.33	16.69	7.83	7.66	95	40.37	4338	31.32	17734	0.12	0.99
	56316	420489	20250918	100239	13.01	1.41	16.7	7.83	7.65	95	40.37	4338	31.32	17729	0.14	0.98
	56316	420489	20250918	100257	13.92	1.41	16.69	7.83	7.65	95	40.36	4338	31.32	17729	0.16	1.07
