#	VERTIKAAL	15	Roompot													
*	18-9-2025	10:22:41														
#X:	53805	-	Y:	421040												
#00	DONARLOCATIE:	GTS-08														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1020>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	53803	421039	20250918	102251	1.04	14.81	16.65	7.85	7.78	96	40.25	4329	31.25	17692	0.23	1.05
	53803	421039	20250918	102310	2.08	13.83	16.65	7.85	7.79	96	40.24	4329	31.25	17687	0.18	1.15
	53803	421039	20250918	102326	3.03	12.99	16.65	7.85	7.79	96	40.25	4329	31.25	17692	0.21	1.29
	53803	421039	20250918	102343	4	12.13	16.65	7.85	7.78	96	40.25	4329	31.25	17692	0.17	1.06
	53803	421039	20250918	102358	5	11.18	16.65	7.85	7.78	96	40.25	4330	31.25	17692	0.16	0.93
	53803	421039	20250918	102414	6.08	10.08	16.65	7.84	7.77	96	40.25	4330	31.25	17692	0.17	0.94
	53803	421039	20250918	102430	7.06	9.26	16.65	7.85	7.77	96	40.25	4330	31.26	17692	0.17	1
	53803	421039	20250918	102508	7.97	8.55	16.65	7.85	7.78	96	40.25	4329	31.25	17692	0.18	1.02
	53803	421039	20250918	102523	9.12	7.44	16.65	7.85	7.79	96	40.25	4329	31.25	17692	0.18	0.94
	53803	421039	20250918	102538	10.02	6.59	16.65	7.85	7.79	96	40.25	4330	31.25	17692	0.17	1.04
	53803	421039	20250918	102554	10.89	5.89	16.64	7.85	7.79	96	40.25	4330	31.26	17697	0.21	1.03
	53803	421039	20250918	102631	11.98	5.07	16.64	7.85	7.76	96	40.25	4330	31.26	17697	0.18	1.1
	53803	421039	20250918	102646	12.87	4.6	16.64	7.85	7.76	96	40.24	4329	31.25	17692	0.17	1.07
	53803	421039	20250918	102730	13.09	3.79	16.64	7.85	7.78	96	40.25	4330	31.26	17697	0.2	0.97
	53746	421049	20250918	102754	14.1	2.71	16.64	7.85	7.77	96	40.25	4330	31.26	17697	0.13	1.12
	53746	421049	20250918	102809	15.07	1.71	16.64	7.85	7.77	96	40.24	4330	31.26	17692	0.19	1.08
	53746	421049	20250918	102826	16.08	0.75	16.64	7.84	7.75	95	40.24	4330	31.25	17692	0.19	1.11
