#	VERTIKAAL	10	Roompot													
*	18-9-2025	09:46:29														
#X:	57655	-	Y:	418869												
#00	DONARLOCATIE:	GTS-11														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1019>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	57654	418872	20250918	94639	0.96	13.81	16.71	7.85	7.78	96	39.98	4295	30.98	17530	0.18	0.90
	57654	418872	20250918	94655	2.07	14.84	16.71	7.85	7.78	96	39.99	4296	30.98	17535	0.22	0.97
	57654	418872	20250918	94709	3.09	12.85	16.71	7.85	7.79	96	40.00	4297	30.99	17540	0.13	0.93
	57654	418872	20250918	94731	3.97	12.29	16.70	7.85	7.79	96	40.00	4298	31.00	17544	0.21	0.90
	57654	418872	20250918	94753	5.10	11.25	16.67	7.85	7.79	96	40.05	4305	31.06	17583	0.24	0.97
	57654	418872	20250918	94808	6.04	10.26	16.65	7.85	7.78	96	40.09	4312	31.11	17612	0.18	0.93
	57654	418872	20250918	94824	7.09	8.89	16.65	7.85	7.78	96	40.16	4320	31.18	17647	0.15	0.81
	57654	418872	20250918	94857	7.99	7.14	16.65	7.84	7.73	95	40.21	4325	31.22	17672	0.15	0.86
	57654	418872	20250918	94913	9.12	6.48	16.65	7.84	7.71	95	40.22	4326	31.23	17677	0.13	0.75
	57654	418872	20250918	94927	10.12	5.63	16.64	7.83	7.71	95	40.22	4327	31.23	17682	0.16	0.80
	57654	418872	20250918	94941	10.93	4.74	16.64	7.83	7.70	95	40.22	4327	31.23	17682	0.11	0.85
	57654	418872	20250918	94954	12.11	3.53	16.64	7.83	7.70	95	40.23	4328	31.24	17687	0.13	0.92
	57654	418872	20250918	95008	13.07	2.35	16.63	7.83	7.70	95	40.23	4329	31.25	17691	0.08	1.01
	57654	418872	20250918	95022	13.98	1.05	16.63	7.83	7.69	95	40.23	4329	31.25	17691	0.10	1.08
