#	VERTIKAAL	19	Roompot													
*	18-9-2025	11:17:36														
#X:	49780	-	Y:	418312												
#00	DONARLOCATIE:	GTS-04														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1021>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	49779	418312	20250918	111746	1.00	16.84	17.09	7.86	7.67	95	40.83	4349	31.41	17781	0.47	1.17
	49779	418312	20250918	111801	2.00	16.84	17.09	7.86	7.67	95	40.83	4349	31.41	17781	0.39	1.00
	49779	418312	20250918	111815	2.97	15.41	17.08	7.86	7.66	95	40.83	4350	31.41	17786	0.36	1.16
	49779	418312	20250918	111831	3.98	14.13	17.08	7.86	7.65	95	40.83	4349	31.41	17786	0.27	1.75
	49779	418312	20250918	111844	5.04	12.86	17.08	7.86	7.65	95	40.83	4350	31.42	17786	0.18	1.13
	49779	418312	20250918	111858	6.05	12.86	17.08	7.86	7.64	95	40.83	4350	31.42	17786	0.42	1.20
	49779	418312	20250918	111911	6.97	11.03	17.09	7.86	7.64	95	40.85	4351	31.42	17791	0.28	1.26
	49779	418312	20250918	111925	8.11	9.78	17.09	7.86	7.63	95	40.85	4351	31.43	17791	0.32	1.14
	49779	418312	20250918	111939	8.94	8.86	17.11	7.86	7.62	95	40.88	4352	31.44	17797	0.51	1.28
	49779	418312	20250918	111957	10.00	7.74	17.12	7.86	7.61	95	40.90	4353	31.45	17802	0.45	1.32
	49779	418312	20250918	112011	11.08	6.80	17.14	7.86	7.60	95	40.93	4354	31.45	17808	0.34	1.30
	49779	418312	20250918	112032	12.06	5.89	17.19	7.85	7.54	94	41.03	4361	31.50	17835	0.29	1.50
	49779	418312	20250918	112054	13.06	4.74	17.21	7.85	7.41	92	41.10	4365	31.54	17861	0.45	1.47
	49779	418312	20250918	112108	14.06	4.70	17.22	7.85	7.33	91	41.13	4368	31.56	17871	0.25	1.50
	49779	418312	20250918	112127	14.99	2.41	17.22	7.84	7.25	90	41.14	4370	31.57	17876	0.37	1.41
	49779	418312	20250918	112203	16.02	1.87	17.26	7.83	6.67	83	41.65	4419	31.98	18111	0.28	1.77
	49779	418312	20250918	112217	17.07	0.96	17.12	7.84	6.68	83	41.61	4429	32.05	18156	0.35	2.21
