#	VERTIKAAL	3	Roompot													
*	18-9-2025	07:54:28														
#X:	67547	-	Y:	411361												
#00	DONARLOCATIE:	GTS-18														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1018>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	67506	411359	20250918	75516	0.98	11.28	16.22	7.78	7.69	94	39.45	4284	30.89	17485	0.21	1.38
	67506	411359	20250918	75541	1.96	10.41	16.22	7.79	7.67	94	39.46	4285	30.9	17490	0.26	1.29
	67506	411359	20250918	75630	2.97	9.51	16.22	7.79	7.66	94	39.46	4285	30.9	17490	0.21	1.43
	67506	411359	20250918	75646	4.01	8.56	16.22	7.79	7.66	94	39.51	4290	30.94	17515	0.14	1.24
	67506	411359	20250918	75701	5.06	7.56	16.22	7.79	7.66	94	39.52	4292	30.95	17520	0.11	1.1
	67506	411359	20250918	75718	5.98	6.63	16.22	7.79	7.65	94	39.53	4293	30.96	17525	0.22	1.2
	67506	411359	20250918	75733	7.06	5.54	16.22	7.79	7.66	94	39.53	4293	30.96	17525	0.18	1.18
	67506	411359	20250918	75746	8.01	4.7	16.22	7.79	7.64	93	39.53	4293	30.96	17525	0.18	1.23
	67506	411359	20250918	75805	9	3.82	16.23	7.78	7.62	93	39.55	4294	30.97	17531	0.18	1.14
	67506	411359	20250918	75819	10.04	2.7	16.24	7.78	7.58	93	39.59	4298	31	17546	0.19	1.19
	67506	411359	20250918	75833	11	1.71	16.24	7.78	7.57	93	39.6	4298	31	17551	0.18	1.2
	67506	411359	20250918	75848	11.97	0.79	16.25	7.78	7.55	92	39.6	4298	31	17547	0.21	1.33
