#	VERTIKAAL	18	Roompot													
*	18-9-2025	11:04:56														
#X:	50766	-	Y:	418403												
#00	DONARLOCATIE:	GTS-05														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1020>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	50765	418403	20250918	110506	1.10	27.58	16.98	7.86	7.71	96	40.69	4344	31.37	17762	0.27	1.18
	50765	418403	20250918	110519	2.04	27.58	16.97	7.86	7.71	96	40.67	4343	31.36	17756	0.31	1.12
	50765	418403	20250918	110534	3.00	25.49	16.97	7.86	7.69	96	40.67	4343	31.36	17756	0.31	1.16
	50765	418403	20250918	110549	4.04	24.83	16.95	7.86	7.69	95	40.66	4344	31.37	17760	0.23	1.21
	50765	418403	20250918	110603	4.96	24.83	16.96	7.86	7.69	95	40.66	4343	31.36	17756	0.30	1.26
	50765	418403	20250918	110617	6.12	24.83	16.95	7.86	7.68	95	40.65	4343	31.36	17755	0.20	1.25
	50765	418403	20250918	110630	7.08	24.83	16.97	7.86	7.69	95	40.67	4344	31.37	17756	0.28	1.23
	50765	418403	20250918	110650	8.08	24.83	16.94	7.86	7.69	95	40.64	4343	31.36	17755	0.27	1.12
	50765	418403	20250918	110708	8.95	19.19	16.95	7.86	7.68	95	40.66	4344	31.37	17760	0.27	1.29
	50765	418403	20250918	110725	10.07	17.40	16.97	7.86	7.67	95	40.68	4344	31.37	17761	0.34	1.21
	50765	418403	20250918	110740	11.09	16.17	17.05	7.86	7.65	95	40.80	4349	31.41	17784	0.36	1.39
	50765	418403	20250918	110754	12.01	15.12	17.06	7.86	7.65	95	40.82	4350	31.42	17790	0.41	1.23
	50765	418403	20250918	110807	13.11	13.81	17.07	7.86	7.65	95	40.83	4350	31.42	17790	0.24	1.31
	50765	418403	20250918	110820	13.99	12.93	17.08	7.86	7.64	95	40.84	4351	31.43	17791	0.28	1.28
	50765	418403	20250918	110835	15.01	11.50	17.08	7.86	7.63	95	40.85	4352	31.43	17796	0.31	1.18
	50765	418403	20250918	110849	16.12	9.89	17.08	7.86	7.63	95	40.85	4352	31.43	17796	0.44	1.26
	50765	418403	20250918	110908	17.03	9.89	17.09	7.86	7.61	95	40.86	4352	31.43	17796	0.44	1.29
	50765	418403	20250918	110921	17.95	9.89	17.09	7.86	7.62	95	40.87	4352	31.44	17801	0.36	1.34
	50765	418403	20250918	110939	19.03	6.88	17.11	7.86	7.58	94	40.90	4354	31.45	17807	0.37	1.27
	50765	418403	20250918	111028	20.12	5.80	17.15	7.85	7.51	94	40.97	4358	31.49	17823	0.43	1.33
	50765	418403	20250918	111040	21.08	4.49	17.19	7.85	7.44	93	41.10	4368	31.56	17870	0.37	1.31
	50765	418403	20250918	111110	21.90	4.49	17.35	7.82	6.63	83	41.55	4400	31.82	18019	0.28	1.54
	50765	418403	20250918	111139	23.10	1.68	17.41	7.81	6.30	79	41.74	4414	31.93	18086	0.36	1.74
	50765	418403	20250918	111206	23.94	1.68	17.40	7.81	6.24	78	41.74	4415	31.94	18091	0.23	1.75
