#	VERTIKAAL	8	Roompot													
*	18-9-2025	09:00:03														
#X:	59333	-	Y:	414108												
#00	DONARLOCATIE:	GTS-13														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1019>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	59333	414108	20250918	90013	0.97	98.59	16.89	7.85	7.47	93	40.4	4322	31.2	17658	0.22	0.73
	59333	414108	20250918	90928	4.56	15.23	16.86	7.86	7.58	94	40.38	4322	31.19	17662	0.13	0.78
	59333	414108	20250918	90942	0.04	15.23	16.88	7.86	7.7	94	37.34	4000	29.3	16149	0.21	0.86
