#	VERTIKAAL	14	Roompot													
*	18-9-2025	10:09:10														
#X:	55302	-	Y:	421317												
#00	DONARLOCATIE:	GTS-09														
#08	WAARNEMER(S):	bernaards														
@	par3.dat															
##	LUCHTDK	hPa	<1019>													
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	55302	421317	20250918	100927	1.01	17.75	16.71	7.84	7.74	96	40.31	4331	31.26	17695	0.18	0.93
	55302	421317	20250918	100942	2.07	17.23	16.71	7.84	7.73	96	40.32	4331	31.26	17700	0.17	1.07
	55302	421317	20250918	101005	2.98	16.39	16.71	7.84	7.73	95	40.32	4331	31.26	17700	0.19	1.01
	55302	421317	20250918	101019	4.02	15.69	16.71	7.84	7.72	95	40.32	4331	31.26	17700	0.19	1.02
	55302	421317	20250918	101033	4.91	14.83	16.73	7.84	7.71	95	40.34	4331	31.27	17701	0.17	1.04
	55302	421317	20250918	101047	6.07	13.99	16.72	7.84	7.70	95	40.32	4331	31.26	17695	0.15	1.00
	55302	421317	20250918	101100	7.01	13.11	16.70	7.84	7.71	95	40.31	4331	31.26	17699	0.16	1.01
	55302	421317	20250918	101114	8.10	12.22	16.70	7.84	7.71	95	40.31	4331	31.26	17699	0.16	0.94
	55302	421317	20250918	101127	9.04	11.86	16.69	7.84	7.72	95	40.29	4330	31.26	17694	0.14	0.84
	55302	421317	20250918	101145	9.94	10.50	16.68	7.84	7.72	95	40.30	4331	31.27	17703	0.19	0.95
	55302	421317	20250918	101200	11.00	9.35	16.65	7.84	7.71	95	40.26	4331	31.26	17697	0.20	1.02
	55302	421317	20250918	101214	12.13	8.35	16.64	7.84	7.72	95	40.26	4330	31.26	17702	0.16	0.90
	55302	421317	20250918	101228	12.98	7.60	16.6	7.84	7.73	95	40.22	4330	31.26	17700	0.18	0.87
	55302	421317	20250918	101243	14.09	6.71	16.63	7.84	7.74	95	40.24	4330	31.26	17696	0.18	0.93
	55302	421317	20250918	101301	14.93	6.12	16.64	7.84	7.73	95	40.25	4331	31.26	17697	0.19	0.87
	55302	421317	20250918	101315	16.07	5.09	16.58	7.84	7.74	95	40.19	4330	31.26	17694	0.21	1.15
	55302	421317	20250918	101329	17.05	4.50	16.58	7.84	7.75	95	40.19	4330	31.26	17694	0.20	0.91
	55302	421317	20250918	101411	17.89	3.83	16.58	7.84	7.76	96	40.19	4330	31.25	17694	0.19	1.04
	55302	421317	20250918	101425	19.06	2.84	16.58	7.84	7.75	95	40.20	4330	31.26	17699	0.12	0.91
	55302	421317	20250918	101440	19.99	2.20	16.55	7.84	7.76	96	40.16	4330	31.25	17692	0.14	0.97
	55302	421317	20250918	101459	21.00	1.25	16.41	7.84	7.76	95	40.03	4329	31.25	17691	0.14	1.26
