#	VERTIKAAL	1	Roompot													
*	1-9-2025	08:34:06														
#X:	61679	-	Y:	413697												
#06	PROJECTCODE:	GTS														
#00	DONARLOCATIE:	GTS-29														
#08	WAARNEMER(S):	bernaards														
#21	MEETGEBIED:	GREVELINGEN														
#22	STARTPUNT:	gts	29													
#23	EINDPUNT:	gts	21													
#51	OPDRACHTGEVER:	CIV														
#52	BEHEERDER:	MOBIELMETEN														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	61679	413697	20250901	83420	0.89	6.40	19.65	7.76	7.11	93	39.83	4012	28.71	16211	0.37	0.76
	61679	413697	20250901	83450	2.08	4.93	19.66	7.78	7.08	93	40.21	4050	29.01	16383	0.34	0.84
	61679	413697	20250901	83513	2.97	4.14	19.66	7.79	7.06	93	40.36	4065	29.13	16453	0.39	0.82
	61679	413697	20250901	83547	3.97	2.64	19.65	7.81	7.04	92	40.58	4088	29.32	16559	0.38	0.82
	61679	413697	20250901	83614	4.99	1.25	19.64	7.81	7.00	92	40.77	4108	29.47	16651	0.30	0.80
