#	VERTIKAAL	7	Roompot													
*	2-9-2025	08:38:29														
#X:	61357	-	Y:	412963												
#00	DONARLOCATIE:	GTS-14														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	61355	412964	20250902	83921	0.97	9.58	19.57	7.85	6.51	86	42.77	4316	31.14	17616	0.44	0.95
	61355	412964	20250902	83939	1.98	8.6	19.57	7.85	6.5	86	42.76	4316	31.14	17611	0.5	0.94
	61355	412964	20250902	83957	2.98	7.67	19.56	7.85	6.49	86	42.76	4316	31.14	17615	0.41	0.81
	61355	412964	20250902	84014	4.02	6.51	19.56	7.85	6.48	86	42.76	4316	31.14	17615	0.49	0.84
	61355	412964	20250902	84028	5.05	5.51	19.54	7.85	6.46	85	42.75	4316	31.14	17619	0.36	0.83
	61355	412964	20250902	84042	6.01	4.43	19.54	7.85	6.44	85	42.74	4316	31.14	17615	0.43	0.85
	61355	412964	20250902	84056	6.98	3.51	19.53	7.85	6.43	85	42.74	4316	31.14	17619	0.42	0.96
	61355	412964	20250902	84109	8.08	2.47	19.53	7.85	6.44	85	42.73	4316	31.14	17614	0.37	0.85
	61355	412964	20250902	84124	8.94	1.59	19.53	7.84	6.44	85	42.74	4316	31.14	17619	0.49	0.93
	61355	412964	20250902	84139	9.96	138.21	19.53	7.84	6.43	85	42.73	4317	31.14	17614	0.45	0.92
