#	VERTIKAAL	3	Roompot													
*	2-9-2025	07:40:33														
#X:	67515	-	Y:	411390												
#00	DONARLOCATIE:	GTS-18														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	67512	411390	20250902	74110	1.08	11.19	19.68	7.97	7.49	99	42.35	4264	30.72	17371	1.18	1.05
	67512	411390	20250902	74124	2.08	10.25	19.83	7.98	7.5	100	42.63	4279	30.84	17438	1.04	1.05
	67512	411390	20250902	74144	2.95	9.48	19.92	7.96	7.46	99	42.87	4294	30.96	17511	0.93	0.99
	67512	411390	20250902	74203	4.01	8.44	19.85	7.94	7.29	97	42.82	4296	30.98	17518	0.95	0.97
	67512	411390	20250902	74224	5.03	7.55	19.84	7.95	7.4	98	42.83	4298	30.99	17527	0.91	0.9
	67512	411390	20250902	74237	6.05	6.56	19.85	7.95	7.35	98	42.87	4301	31.02	17541	0.75	0.8
	67512	411390	20250902	74251	7.01	5.55	19.8	7.95	7.36	98	42.83	4301	31.02	17544	0.56	0.81
	67512	411390	20250902	74305	8.06	4.57	19.77	7.95	7.33	97	42.82	4302	31.03	17553	0.77	0.65
	67512	411390	20250902	74326	8.95	3.73	19.74	7.94	7.27	96	42.8	4303	31.03	17556	0.62	0.86
	67512	411390	20250902	74349	10.02	2.5	19.69	7.92	6.97	92	42.76	4304	31.04	17559	0.61	0.85
	67512	411390	20250902	74408	10.93	1.84	19.68	7.91	6.87	91	42.76	4305	31.05	17563	0.43	0.92
	67512	411390	20250902	74427	12.01	0.82	19.67	7.9	6.8	90	42.76	4305	31.05	17568	0.48	0.87
