#	VERTIKAAL	3	Roompot													
*	1-9-2025	09:05:25														
#X:	60155	-	Y:	419603												
#00	DONARLOCATIE:	GTS-27														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	60154	419604	20250901	90610	1.07	9.89	19.48	7.88	6.97	92	42.7	4317	31.15	17622	0.35	0.81
	60154	419604	20250901	90648	2.00	8.85	19.47	7.87	6.92	91	42.69	4317	31.15	17622	0.30	0.70
	60154	419604	20250901	90702	3.02	7.81	19.46	7.87	6.90	91	42.68	4317	31.15	17621	0.30	0.80
	60154	419604	20250901	90720	4.08	6.60	19.42	7.86	6.81	90	42.65	4318	31.15	17625	0.19	0.77
	60154	419604	20250901	90741	4.98	6.03	19.39	7.85	6.69	88	42.63	4318	31.16	17628	0.22	0.69
	60154	419604	20250901	90803	5.97	5.29	19.31	7.85	6.63	87	42.57	4320	31.17	17635	0.24	0.71
	60154	419604	20250901	90823	6.87	4.57	19.27	7.87	6.75	89	42.55	4321	31.18	17643	0.23	0.76
	60154	419604	20250901	90838	8.00	3.61	19.27	7.87	6.77	89	42.54	4321	31.18	17638	0.16	0.71
	60154	419604	20250901	90901	8.89	2.86	19.25	7.87	6.77	89	42.53	4322	31.18	17642	0.23	0.71
	60154	419604	20250901	90930	10.03	1.69	19.23	7.87	6.77	89	42.51	4321	31.18	17641	0.25	0.85
	60154	419604	20250901	90957	11.00	0.83	19.24	7.87	6.78	89	42.53	4322	31.19	17646	0.19	0.76
