#	VERTIKAAL	16	Roompot													
*	2-9-2025	11:28:45														
#X:	50782	-	Y:	418400												
#00	DONARLOCATIE:	GTS-05														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	50782	418400	20250902	112855	1	27.98	19.5	7.92	7.32	97	42.73	4319	31.16	17627	1.19	1.32
	50782	418400	20250902	112911	1.98	26.81	19.49	7.92	7.32	97	42.73	4319	31.16	17632	1.58	1.42
	50782	418400	20250902	112925	3.02	25.91	19.48	7.91	7.28	96	42.71	4319	31.16	17627	1.63	1.25
	50782	418400	20250902	112940	4.09	24.6	19.48	7.91	7.26	96	42.71	4319	31.16	17627	1.33	1.4
	50782	418400	20250902	112953	5.03	23.7	19.47	7.91	7.23	96	42.7	4319	31.16	17626	1.35	1.32
	50782	418400	20250902	113007	6.05	22.34	19.44	7.9	7.15	94	42.67	4318	31.16	17625	1.19	1.44
	50782	418400	20250902	113022	7.03	21.33	19.44	7.9	7.09	94	42.66	4318	31.15	17621	1.31	1.26
	50782	418400	20250902	113039	8	21.33	19.39	7.89	7.06	93	42.61	4317	31.15	17619	1.37	1.4
	50782	418400	20250902	113053	9.02	18.94	19.37	7.89	7.05	93	42.59	4316	31.14	17618	1.25	1.47
	50782	418400	20250902	113107	10	18.94	19.35	7.89	7.06	93	42.57	4317	31.14	17617	1.52	1.64
	50782	418400	20250902	113135	11.12	16.24	19.32	7.88	6.85	90	42.55	4317	31.15	17621	1.3	1.6
	50782	418400	20250902	113155	11.97	15.28	19.32	7.87	6.76	89	42.56	4318	31.16	17626	1.74	1.81
	50782	418400	20250902	113240	12.88	14.56	19.3	7.82	5.78	76	42.67	4331	31.26	17687	0.81	1.75
	50782	418400	20250902	113313	14.1	13.83	19.41	7.86	6.14	81	42.89	4344	31.36	17742	0.85	1.51
	50782	418400	20250902	113327	15.08	13.04	19.41	7.86	6.17	82	42.92	4346	31.38	17757	0.98	1.62
	50782	418400	20250902	113340	16.14	11.86	19.38	7.86	6.16	81	42.92	4349	31.41	17770	0.67	1.59
	50782	418400	20250902	113405	17.03	10.96	19.33	7.85	6.04	80	42.88	4350	31.41	17773	0.81	1.54
	50782	418400	20250902	113449	18.07	9.92	19.09	7.8	5.25	69	42.65	4348	31.4	17769	0.61	2
	50782	418400	20250902	113540	19.06	8.76	18.69	7.72	4.08	53	42.18	4338	31.32	17722	0.35	1.99
	50782	418400	20250902	113639	20.1	6.55	17.36	7.53	0.8	10	40.72	4312	31.11	17605	0.14	3.24
	50782	418400	20250902	113717	21.04	6.08	16.26	7.55	0.31	4	39.59	4295	30.98	17537	0.07	7.45
	50782	418400	20250902	113734	22.03	5.64	15.72	7.5	0.24	3	39.05	4289	30.93	17509	0.04	2.69
	50782	418400	20250902	113749	22.97	5.06	15.59	7.48	0.21	3	38.89	4284	30.89	17487	0.09	1.89
	50782	418400	20250902	113829	24.06	4.84	15.43	7.46	0.17	2	38.73	4282	30.87	17478	0.09	1.08
	50782	418400	20250902	113847	25.04	4.14	15.19	7.44	0.16	2	38.49	4278	30.85	17464	0.06	0.85
	50782	418400	20250902	113909	26.03	3.18	14.91	7.43	0.14	2	38.23	4278	30.84	17458	0.18	0.94
	50782	418400	20250902	113926	26.97	2.26	14.67	7.4	0.13	2	38.03	4278	30.85	17465	0.07	0.98
	50782	418400	20250902	113944	28	1.21	14.55	7.38	0.13	2	37.86	4271	30.79	17432	0.08	0.96
