#	VERTIKAAL	1	Roompot													
*	2-9-2025	07:26:29														
#X:	69250	-	Y:	411012												
#06	PROJECTCODE:	GTS														
#00	DONARLOCATIE:	GTS-20														
#08	WAARNEMER(S):	bernaards														
#21	MEETGEBIED:	GREVELINGEN														
#22	STARTPUNT:	gts	20													
#23	EINDPUNT:	gts	01													
#51	OPDRACHTGEVER:	CIV														
#52	BEHEERDER:	MOBIELMETEN														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	69250	411012	20250902	72639	1.05	6.48	19.43	7.92	6.85	90	40.6	4110	29.48	16658	0.96	1.22
	69250	411012	20250902	72655	2	5.59	19.5	7.92	6.8	89	40.91	4135	29.68	16774	1.1	0.98
	69250	411012	20250902	72720	2.97	4.55	19.59	7.91	6.7	88	41.37	4172	29.98	16951	1.04	1.19
	69250	411012	20250902	72739	4.05	3.21	19.99	7.9	6.59	88	42.85	4286	30.9	17472	0.74	1.04
	69250	411012	20250902	72810	4.99	1.57	19.95	7.87	6.25	83	42.84	4289	30.92	17484	0.62	0.89
	69250	411012	20250902	72824	6.07	179.47	19.91	7.85	6.16	82	42.83	4290	30.93	17497	0.65	0.87
