#	VERTIKAAL	5	Roompot													
*	1-9-2025	09:44:17														
#X:	54967	-	Y:	423911												
#00	DONARLOCATIE:	GTS-25														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	54967	423911	20250901	94442	1.12	16.29	19.41	7.95	7.50	99	42.74	4328	31.23	17671	1.14	0.94
	54967	423911	20250901	94456	2.07	15.96	19.42	7.94	7.45	98	42.75	4328	31.24	17672	1.13	0.87
	54967	423911	20250901	94506	3.08	16.02	19.42	7.94	7.42	98	42.75	4328	31.24	17672	1.08	0.91
	54967	423911	20250901	94524	4.08	16.02	19.42	7.94	7.38	98	42.75	4328	31.24	17672	0.92	1.01
	54967	423911	20250901	94540	5.05	15.75	19.42	7.94	7.37	97	42.75	4328	31.24	17672	1.05	0.96
	54967	423911	20250901	94553	6.05	15.35	19.42	7.94	7.40	98	42.76	4329	31.24	17677	1.08	0.93
	54967	423911	20250901	94608	7.02	14.77	19.41	7.93	7.34	97	42.74	4328	31.24	17671	0.83	0.96
	54967	423911	20250901	94622	8.11	14.06	19.4	7.93	7.24	96	42.73	4328	31.23	17671	0.84	0.95
	54967	423911	20250901	94637	9.11	13.72	19.41	7.93	7.20	95	42.74	4328	31.23	17671	0.84	0.95
	54967	423911	20250901	94700	9.97	12.98	19.41	7.92	7.12	94	42.74	4328	31.24	17671	0.82	0.79
	54967	423911	20250901	94722	10.94	12.33	19.36	7.92	7.07	93	42.71	4329	31.24	17679	0.62	0.87
	54967	423911	20250901	94736	12.01	11.49	19.34	7.91	6.98	92	42.70	4330	31.26	17683	0.55	0.86
	54967	423911	20250901	94758	13.09	11.25	19.33	7.91	6.85	90	42.69	4331	31.26	17683	0.45	0.83
	54967	423911	20250901	94812	14.07	11.04	19.32	7.91	6.81	90	42.70	4332	31.27	17692	0.44	0.74
	54967	423911	20250901	94830	15.06	10.98	19.33	7.91	6.79	90	42.71	4332	31.27	17692	0.31	0.80
	54967	423911	20250901	94844	16.05	10.63	19.33	7.91	6.82	90	42.72	4333	31.28	17697	0.35	0.84
	54967	423911	20250901	94859	17.02	10.27	19.31	7.91	6.77	89	42.71	4334	31.29	17701	0.34	0.83
	54967	423911	20250901	94917	18.02	9.74	19.28	7.90	6.67	88	42.68	4334	31.28	17700	0.28	0.80
	54967	423911	20250901	94933	18.88	9.22	19.26	7.90	6.59	87	42.66	4334	31.28	17699	0.31	0.84
	54967	423911	20250901	94952	20.03	8.36	19.26	7.90	6.53	86	42.68	4336	31.30	17709	0.23	0.87
	54967	423911	20250901	95012	21.12	7.60	19.25	7.90	6.46	85	42.67	4336	31.30	17708	0.22	0.94
	54967	423911	20250901	95026	21.97	6.92	19.24	7.90	6.44	85	42.67	4337	31.30	17713	0.22	0.87
	54967	423911	20250901	95047	22.98	6.00	19.23	7.90	6.39	84	42.67	4337	31.31	17717	0.20	1.00
	54967	423911	20250901	95113	23.94	5.07	19.21	7.89	6.20	82	42.65	4337	31.31	17717	0.27	0.91
	54967	423911	20250901	95135	25.05	3.62	19.21	7.89	6.18	81	42.65	4337	31.31	17717	0.26	1.05
	54967	423911	20250901	95207	27.03	1.80	19.18	7.87	5.88	77	42.62	4337	31.31	17716	0.13	1.12
	54967	423911	20250901	95217	27.73	1.15	19.18	7.87	5.86	77	42.62	4338	31.31	17716	0.21	1.07
	54967	423911	20250901	95240	27.94	1.12	19.17	7.86	5.62	74	42.61	4338	31.31	17715	0.14	1.08
