#	VERTIKAAL	7	Roompot													
*	1-9-2025	10:19:14														
#X:	51523	-	Y:	421851												
#00	DONARLOCATIE:	GTS-23														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	51523	421851	20250901	102030	1.01	11.59	19.36	7.91	7.29	96	42.69	4327	31.23	17670	1.07	1.03
	51523	421851	20250901	102047	2.05	12.43	19.37	7.92	7.26	96	42.69	4327	31.23	17665	0.94	0.96
	51523	421851	20250901	102103	3.00	12.20	19.37	7.92	7.26	96	42.70	4327	31.23	17670	0.80	0.99
	51523	421851	20250901	102121	3.98	12.03	19.39	7.91	7.24	95	42.70	4327	31.22	17661	0.91	1.01
	51523	421851	20250901	102138	4.89	11.60	19.39	7.91	7.22	95	42.70	4327	31.22	17661	0.83	1.00
	51523	421851	20250901	102159	6.11	10.80	19.37	7.91	7.22	95	42.69	4326	31.22	17665	0.78	0.92
	51523	421851	20250901	102215	6.97	10.39	19.36	7.92	7.21	95	42.68	4327	31.23	17665	0.89	1.06
	51523	421851	20250901	102234	8.11	10.02	19.37	7.92	7.21	95	42.69	4327	31.23	17665	0.79	1.02
	51523	421851	20250901	102249	9.07	9.10	19.36	7.92	7.21	95	42.69	4328	31.23	17670	0.96	1.07
	51523	421851	20250901	102307	9.93	8.19	19.36	7.92	7.19	95	42.69	4328	31.23	17670	0.85	0.99
	51523	421851	20250901	102322	11.08	6.98	19.36	7.92	7.19	95	42.69	4328	31.23	17670	0.92	0.94
	51523	421851	20250901	102335	11.98	5.94	19.36	7.92	7.20	95	42.69	4328	31.23	17670	0.86	1.03
	51523	421851	20250901	102356	13.13	5.40	19.36	7.92	7.22	95	42.69	4327	31.23	17670	0.89	0.93
	51523	421851	20250901	102426	14.08	5.20	19.35	7.91	7.13	94	42.68	4328	31.23	17669	0.87	0.97
	51523	421851	20250901	102442	14.91	3.24	19.35	7.91	7.11	94	42.69	4328	31.23	17674	0.95	1.10
	51523	421851	20250901	102512	16.04	2.96	19.35	7.91	7.11	94	42.68	4328	31.23	17669	0.70	1.06
	51523	421851	20250901	102538	17.07	2.15	19.35	7.91	7.02	93	42.69	4329	31.24	17674	0.82	1.00
	51523	421851	20250901	102602	17.90	1.23	19.35	7.90	6.82	90	42.70	4330	31.25	17679	0.50	1.41
