#	VERTIKAAL	2	Roompot													
*	2-9-2025	07:32:12														
#X:	68904	-	Y:	411299												
#00	DONARLOCATIE:	GTS-19														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	68902	411298	20250902	73222	1.11	7.55	19.41	7.97	7.34	96	41.21	4173	29.99	16952	1.22	1.13
	68902	411298	20250902	73242	2.09	5.57	19.45	7.96	7.32	96	41.33	4181	30.06	16991	1.23	1.13
	68902	411298	20250902	73314	3.05	3.14	19.64	7.95	7.14	94	41.94	4227	30.42	17197	1.4	1.18
	68902	411298	20250902	73334	3.99	1.97	19.96	7.95	7.14	95	42.57	4261	30.69	17354	1.1	1.06
	68902	411298	20250902	73405	4.99	1.19	19.99	7.91	6.72	90	42.84	4285	30.89	17467	0.78	0.97
