#	VERTIKAAL	9	Roompot													
*	1-9-2025	10:43:33														
#X:	50689	-	Y:	419834												
#00	DONARLOCATIE:	GTS-21														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	50689	419834	20250901	104421	0.99	8.05	19.40	7.89	7.16	94	42.68	4324	31.20	17647	0.49	1.11
	50689	419834	20250901	104507	2.08	6.26	19.38	7.89	7.11	94	42.68	4324	31.21	17656	0.98	1.00
	50689	419834	20250901	104521	2.97	5.40	19.38	7.88	7.10	94	42.67	4324	31.20	17652	0.87	1.02
	50689	419834	20250901	104535	4.00	4.09	19.38	7.89	7.08	93	42.67	4324	31.20	17652	0.78	1.01
	50689	419834	20250901	104550	5.01	2.76	19.38	7.89	7.10	94	42.67	4324	31.20	17652	0.83	0.95
	50689	419834	20250901	104604	6.04	0.92	19.36	7.87	7.01	93	42.66	4324	31.20	17656	0.58	0.97
