#	VERTIKAAL	20	Roompot													
*	2-9-2025	12:25:31														
#X:	48791	-	Y:	418208												
#00	DONARLOCATIE:	GTS-03														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	48791	418208	20250902	122542	1.02	42.94	19.51	7.93	7.54	100	42.73	4318	31.15	17623	1.84	1.39
	48791	418208	20250902	122626	2.01	42.24	19.5	7.93	7.49	99	42.72	4317	31.15	17623	2.4	1.19
	48791	418208	20250902	122644	3.05	41.33	19.49	7.93	7.49	99	42.71	4317	31.15	17622	2.65	1.3
	48791	418208	20250902	122707	4.04	40.32	19.49	7.92	7.47	99	42.71	4317	31.15	17622	1.88	1.15
	48791	418208	20250902	122721	5.01	39.43	19.49	7.92	7.46	99	42.71	4317	31.15	17622	2.65	1.37
	48791	418208	20250902	122735	6.06	37.99	19.48	7.92	7.44	98	42.7	4317	31.15	17622	1.81	1.16
	48791	418208	20250902	122749	7	37.13	19.48	7.92	7.46	99	42.7	4318	31.15	17622	1.7	1.13
	48791	418208	20250902	122814	8.1	36.09	19.4	7.89	7.18	95	42.65	4320	31.17	17633	1.4	1.34
	48791	418208	20250902	122925	9.02	3.12	19.36	7.85	6.26	83	42.64	4323	31.19	17646	0.92	1.43
	48791	418208	20250902	122939	9.97	34.32	19.41	7.85	6.3	83	42.75	4329	31.24	17676	0.75	1.34
	48791	418208	20250902	123001	10.98	33.34	19.44	7.85	6.19	82	42.8	4332	31.26	17687	0.62	1.5
	48791	418208	20250902	123020	11.99	32.3	19.47	7.86	6.21	82	42.85	4333	31.28	17697	1.12	1.31
	48791	418208	20250902	123051	13.01	31.24	19.51	7.88	6.48	86	42.95	4340	31.33	17727	1.07	1.24
	48791	418208	20250902	123105	14.03	30.29	19.5	7.88	6.49	86	42.94	4340	31.34	17726	0.93	1.41
	48791	418208	20250902	123122	14.97	29.5	19.5	7.87	6.48	86	42.96	4342	31.35	17736	0.9	1.35
	48791	418208	20250902	123142	15.9	28.4	19.48	7.87	6.41	85	43.04	4352	31.42	17782	0.72	1.45
	48791	418208	20250902	123201	17.13	27.34	19.48	7.87	6.39	85	43.05	4353	31.44	17787	0.78	1.64
	48791	418208	20250902	123217	17.95	26.53	19.45	7.87	6.3	83	43.09	4360	31.5	17819	0.72	1.5
	48791	418208	20250902	123240	19.02	25.87	19.47	7.87	6.17	82	43.19	4368	31.56	17858	1.2	1.5
	48791	418208	20250902	123410	20.1	25.21	18.27	7.68	2.98	38	41.86	4344	31.36	17754	0.34	1.78
	48791	418208	20250902	123512	20.99	25.35	17.15	7.54	0.56	7	40.57	4315	31.14	17625	0.1	8.06
	48791	418208	20250902	123542	21.97	23.19	16.03	7.52	0.3	4	39.43	4300	31.02	17561	0.11	8.45
	48791	418208	20250902	123557	23.06	22.33	15.79	7.5	0.25	3	39.15	4293	30.96	17528	0.07	6.51
	48791	418208	20250902	123612	24.08	21.77	15.45	7.47	0.22	3	38.79	4286	30.91	17500	0.02	3.35
	48791	418208	20250902	123626	25.06	21.21	15.14	7.43	0.2	2	38.47	4280	30.86	17477	0.02	1.47
	48791	418208	20250902	123645	26.13	18.51	15	7.42	0.17	2	38.29	4275	30.82	17448	0.11	1.15
	48791	418208	20250902	123659	27.12	17.43	14.82	7.41	0.17	2	38.11	4272	30.8	17437	0.09	1.09
	48791	418208	20250902	123718	27.95	16.55	14.56	7.4	0.15	2	37.86	4270	30.78	17427	0.07	1.12
	48791	418208	20250902	123732	29.08	15.52	14.35	7.4	0.15	2	37.64	4266	30.75	17409	0.02	1.03
	48791	418208	20250902	123745	30.14	14.54	14.01	7.4	0.14	2	37.33	4264	30.74	17403	0.09	0.86
	48791	418208	20250902	123815	30.95	13.96	13.08	7.38	0.12	1	36.39	4249	30.62	17335	0.03	0.94
	48791	418208	20250902	123829	32.04	13.14	12.64	7.37	0.12	1	35.98	4244	30.58	17319	0.03	0.92
	48791	418208	20250902	123844	33.13	11.81	12.14	7.36	0.11	1	35.5	4238	30.53	17292	0.09	0.86
	48791	418208	20250902	123903	33.99	10.84	11.93	7.35	0.1	1	35.28	4234	30.5	17270	0.05	0.98
	48791	418208	20250902	123918	35.01	9.76	11.35	7.33	0.1	1	34.71	4224	30.42	17229	0.08	1.01
	48791	418208	20250902	123934	36.04	8.75	11.16	7.32	0.09	1	34.53	4221	30.4	17218	0.07	1.11
	48791	418208	20250902	123947	37.1	7.94	10.94	7.3	0.08	1	34.32	4218	30.38	17205	0.05	1.14
	48791	418208	20250902	124005	38.09	6.79	10.92	7.3	0.08	1	34.3	4217	30.37	17204	0.09	1.13
	48791	418208	20250902	124020	39.04	5.8	10.89	7.3	0.08	1	34.26	4216	30.36	17195	0.05	1.1
	48791	418208	20250902	124034	39.97	4.8	10.85	7.29	0.08	1	34.23	4216	30.36	17198	0.02	1.14
	48791	418208	20250902	124049	42.1	3.31	10.73	7.29	0.08	1	34.12	4214	30.35	17193	0.11	1.35
	48791	418208	20250902	124059	42.04	3.16	10.71	7.28	0.08	1	34.11	4216	30.36	17197	0.1	1.25
	48791	418208	20250902	124113	43.25	1.97	10.72	7.28	0.07	1	34.1	4215	30.35	17186	0.07	1.45
	48791	418208	20250902	124147	43.73	1.36	10.69	7.28	0.07	1	34.09	4216	30.36	17195	0.08	1.42
