# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 30-05-2024 12:16:02
#X: 74403 - Y: 387803
#00 DONARLOCATIE: ZTS-36
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par9.dat
## TLU        oC <-->
## LUCHTDK    hPa <1007>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  74403  387803 20240530 121610    1.09    1.09   17.64   8.10 8.75      93    1.19     125    0.70     287    0.92    1.97   -0.60
  74409  387807 20240530 121634    2.03    2.04   17.64   8.09 8.73      92    1.19     125    0.70     287    0.87    2.30   -0.62
  74423  387817 20240530 121724    3.00    3.03   17.65   8.10 8.72      92    1.19     125    0.70     287    0.92    2.19   -0.58
  74425  387819 20240530 121737    4.07    4.08   17.65   8.09 8.71      92    1.19     125    0.70     287    0.91    2.17   -0.59
  74425  387826 20240530 121755    5.04    5.06   17.65   8.09 8.71      92    1.19     125    0.70     287    0.84    2.07   -0.53
  74418  387827 20240530 121814    5.99    6.00   17.64   8.10 8.71      92    1.19     125    0.70     287    0.90    2.08   -0.60
  74418  387831 20240530 121828    7.01    7.02   17.64   8.10 8.70      92    1.19     125    0.70     287    0.83    2.26   -0.63
  74422  387828 20240530 121847    8.01    8.00   17.61   8.10 8.69      92    1.19     125    0.70     288    0.87    2.52   -0.57
  74427  387826 20240530 121903    8.96    8.99   17.58   8.09 8.67      92    1.19     125    0.70     288    0.86    2.80   -0.63
  74435  387825 20240530 121923    9.98   10.00   17.61   8.10 8.67      92    1.19     125    0.70     288    0.85    2.63   -0.62
  74437  387820 20240530 121938   11.02   11.00   17.62   8.09 8.67      92    1.19     125    0.70     288    0.88    2.49   -0.69
  74440  387818 20240530 121954   12.00   11.98   17.60   8.10 8.68      92    1.19     125    0.70     288    0.84    2.39   -0.64
  74442  387819 20240530 122009   13.08   13.10   17.58   8.09 8.67      92    1.19     125    0.70     288    0.85    2.73   -0.61
  74443  387819 20240530 122024   14.00   13.98   17.56   8.09 8.65      92    1.19     125    0.70     288    0.84    2.74   -0.58
  74448  387818 20240530 122044   15.09   15.12   17.54   8.09 8.63      91    1.19     125    0.70     288    0.84    3.79   -0.51
  74449  387816 20240530 122102   15.91   15.93   17.55   8.09 8.60      91    1.20     127    0.71     290    0.86    6.10   -0.56
