X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51.75672155;3.878096945;20250627;104205;1.03;19.95;7.99;89.47;6.86;17126.71;-0.83;30.3;4211.53;2.31;1.57;42.07;-999
51.75672155;3.878096945;20250627;104223;2.06;19.94;7.99;89.5;6.87;17126.95;-0.68;30.3;4211.58;2.36;2;42.06;-999
51.75672155;3.878096945;20250627;104240;3.02;19.94;7.99;89.77;6.89;17126.02;-0.9;30.3;4211.38;2.32;1.78;42.06;-999
51.75672155;3.878096945;20250627;104304;3.95;19.95;7.99;89.67;6.88;17127.68;-0.94;30.3;4211.74;2.24;1.46;42.07;-999
