X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51,7721682;3,941048761;20250626;101512;1;20,13;8,03;102,93;7,78;17074,36;-0,96;30,21;4200,47;1,37;2,39;42,12;-999
51,7721682;3,941048761;20250626;101531;1,99;20,14;8,03;103,18;7,8;17074,11;-0,95;30,21;4200,42;1,32;1,7;42,13;-999
51,7721682;3,941048761;20250626;101545;2,99;20,12;8,04;103,93;7,86;17074,5;-0,91;30,21;4200,48;1,22;2,3;42,11;-999
51,7721682;3,941048761;20250626;101603;4;20,14;8,04;104,11;7,87;17073,6;-0,91;30,21;4200,31;1,19;2,09;42,13;-999
51,7721682;3,941048761;20250626;101618;4,98;20,12;8,04;104,45;7,9;17075,7;-0,88;30,21;4200,74;1,22;2,54;42,12;-999
51,7721682;3,941048761;20250626;101638;5,97;20,12;8,04;104,74;7,92;17075,85;-0,84;30,21;4200,77;1,26;2,38;42,11;-999
51,7721682;3,941048761;20250626;101653;6,99;20,11;8,04;104,8;7,92;17076,17;-1,03;30,21;4200,83;1,36;2,07;42,11;-999
51,7721682;3,941048761;20250626;101711;8,02;20,11;8,04;104,92;7,93;17078,07;-0,95;30,22;4201,24;1,29;2,03;42,11;-999
51,7721682;3,941048761;20250626;101728;8,95;20,08;8,05;105,2;7,96;17077,94;-0,93;30,21;4201,17;1,3;2,27;42,08;-999
51,7721682;3,941048761;20250626;101747;10,01;20,03;8,04;104,75;7,93;17083,34;-0,98;30,22;4202,28;1,35;2,44;42,05;-999
51,7721682;3,941048761;20250626;101803;10,98;19,91;8,01;100,54;7,63;17090,28;-1;30,23;4203,63;1,43;2,14;41,96;-999
51,7721682;3,941048761;20250626;101822;12,1;19,87;8;96,7;7,34;17091,25;-0,92;30,24;4203,79;1,52;2,1;41,92;-999
51,7721682;3,941048761;20250626;101848;13,12;19,87;8;95,48;7,25;17091,21;-0,92;30,24;4203,78;1,48;2,22;41,92;-999
51,7721682;3,941048761;20250626;101902;13,07;19,84;7,99;95,19;7,23;17090,83;-0,9;30,24;4203,66;1,4;1,89;41,9;-999
51,7721682;3,941048761;20250626;101921;13,98;19,83;7,98;91,43;6,95;17095,53;-0,83;30,24;4204,67;1,57;1,77;41,9;-999
51,7721682;3,941048761;20250626;101943;15,04;19,82;7,98;90,02;6,84;17096,72;-0,96;30,25;4204,9;1,42;1,72;41,89;-999
51,7721682;3,941048761;20250626;102004;16;19,73;7,95;87,52;6,66;17090,89;-0,92;30,23;4203,54;1,35;1,61;41,8;-999
51,7721682;3,941048761;20250626;102031;16,97;19,66;7,96;86,86;6,62;17089,72;-0,89;30,23;4203,21;1,7;1,83;41,73;-999
51,7721682;3,941048761;20250626;102053;17,82;19,64;7,95;85,83;6,55;17090,33;-1,17;30,23;4203,31;1,85;1,87;41,71;-999
