# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 10-07-2024 08:51:58
#X: 59077 - Y: 414914
#00 DONARLOCATIE: DREISR
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1013>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  59077  414914 20240710 85219    1.08   16.99   18.88   8.03 7.13      90   37.49    3840   27.34   15426    2.15    0.00
  59079  414920 20240710 85247    2.00   15.64   18.89   8.03 7.17      91   37.47    3837   27.32   15412    1.94    0.00
  59082  414924 20240710 85317    2.93   14.26   18.90   8.04 7.21      91   37.44    3833   27.28   15393    1.98    0.00
  59089  414926 20240710 85408    3.97   13.28   18.86   8.02 6.99      89   37.52    3844   27.38   15446    1.58    0.00
  59091  414926 20240710 85432    4.96   12.34   18.84   8.01 6.88      87   37.54    3849   27.41   15466    1.81    0.00
  59093  414926 20240710 85455    6.11   11.28   18.81   8.01 6.88      87   37.54    3851   27.43   15478    1.69    0.00
  59097  414922 20240710 85552    6.98   10.84   18.58   7.96 6.19      78   37.38    3853   27.45   15489    0.83    0.00
  59099  414916 20240710 85655    8.04   10.29   18.43   7.97 6.32      79   37.25    3853   27.45   15488    1.24    0.00
  59099  414908 20240710 85757    9.03    9.54   18.40   7.95 6.02      76   37.24    3854   27.45   15492    0.71    0.00
  59099  414905 20240710 85818   10.01    8.48   18.28   7.94 5.97      75   37.13    3853   27.45   15489    0.60    0.00
  59099  414905 20240710 85842   11.01    7.28   18.13   7.93 6.06      76   37.00    3852   27.44   15484    0.49    0.00
  59099  414905 20240710 85906   12.02    6.05   17.94   7.91 5.99      75   36.80    3847   27.40   15465    0.37    0.00
  59099  414912 20240710 85958   13.03    4.53   17.92   7.89 5.80      72   36.79    3848   27.41   15467    0.37    0.00
  59098  414922 20240710 90043   14.03    3.11   17.97   7.89 5.64      70   36.84    3849   27.42   15474    0.36    0.00
  59092  414920 20240710 90124   15.03    3.35   17.90   7.88 5.55      69   36.79    3849   27.42   15474    0.28    0.00
  59091  414919 20240710 90143   16.05    2.50   17.89   7.88 5.53      69   36.78    3849   27.42   15475    0.32    0.00
  59090  414918 20240710 90217   16.95    1.75   17.90   7.87 5.42      67   36.80    3850   27.43   15480    0.25    0.00
  59089  414917 20240710 90247   17.97    0.75   17.87   7.87 5.30      66   36.79    3852   27.44   15488    0.22    0.00
