# VERTIKAAL 16 Roompot
* 15-09-2025 12:00:11
#X: 33162 - Y: 400225
#00 DONARLOCATIE: VTS-02
#08 WAARNEMER(S): bernaards
@ par1.dat
## LUCHTDK    hPa <1006>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU    TROEBHFNU  PHYCOUGL
  33162  400225 20250915 120021    0.96 50295.0   17.79   7.89 7.19      92   40.70    4268   30.76   17402    0.29      0.64     -0.94
  33162  400225 20250915 120037    2.00 50295.0   17.78   7.89 7.18      92   40.68    4268   30.75   17400    0.26      0.60     -1.05
  33162  400225 20250915 120052    3.03 50295.0   17.77   7.89 7.18      91   40.67    4268   30.75   17400    0.22      0.60     -0.95
  33162  400225 20250915 120114    3.97 50295.0   17.77   7.88 7.17      91   40.68    4268   30.76   17401    0.29      0.69     -1.01
  33162  400225 20250915 120127    5.10 50295.0   17.78   7.89 7.17      91   40.68    4268   30.76   17401    0.32      0.67     -0.97
  33162  400225 20250915 120141    5.95 50295.0   17.77   7.88 7.18      91   40.67    4268   30.76   17401    0.30      0.64     -1.01
  33162  400225 20250915 120157    7.10 50295.0   17.77   7.89 7.17      91   40.68    4268   30.76   17401    0.33      0.56     -1.02
  33162  400225 20250915 120212    7.99 50295.0   17.77   7.89 7.18      91   40.67    4268   30.75   17400    0.31      0.51     -1.05
  33162  400225 20250915 120226    8.99 50295.0   17.77   7.89 7.17      91   40.68    4268   30.76   17402    0.30      0.69     -1.05
  33162  400225 20250915 120240   10.01 50295.0   17.77   7.89 7.17      91   40.68    4268   30.75   17401    0.29      0.57     -1.02
  33162  400225 20250915 120255   10.98 50295.0   17.77   7.89 7.18      91   40.68    4268   30.76   17402    0.28      0.58     -1.07
  33162  400225 20250915 120309   11.98 50295.0   17.77   7.89 7.17      91   40.68    4268   30.76   17402    0.30      0.57     -1.07
  33162  400225 20250915 120326   13.03 50295.0   17.77   7.89 7.17      91   40.68    4268   30.76   17401    0.21      0.73     -0.90
