# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 06-03-2025 12:26:40
#X: 74430 - Y: 387826
#00 DONARLOCATIE: ZTS-36
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par9.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  74430  387826 20250306 122648    0.98   14.18    6.60   8.50 12.7     104    1.09     150    0.85     368    1.52    4.58   12.69
  74430  387826 20250306 122704    2.00   12.85    6.57   8.49 12.7     104    1.09     149    0.85     367    1.54    4.70   12.69
  74430  387826 20250306 122720    2.97   11.41    6.58   8.49 12.7     104    1.09     149    0.85     367    1.54    5.04   12.69
  74430  387826 20250306 122734    4.01   10.10    6.54   8.49 12.7     104    1.09     150    0.85     368    1.63    4.98   12.69
  74430  387826 20250306 122749    5.07    8.80    6.53   8.49 12.7     104    1.09     149    0.85     367    1.63    4.60   12.67
  74430  387826 20250306 122804    6.05    7.25    6.47   8.49 12.7     104    1.09     150    0.85     369    1.78    4.70   12.67
  74430  387826 20250306 122825    7.00    5.55    6.40   8.48 12.7     103    1.09     151    0.86     372    1.69    4.41   12.64
  74430  387826 20250306 122857    8.08    2.78    6.47   8.48 12.5     102    1.09     150    0.85     369    1.67    5.03   12.53
  74430  387826 20250306 122917    8.95    2.29    6.45   8.48 12.6     103    1.09     150    0.85     370    1.76    4.35   12.61
  74430  387826 20250306 122951    9.95    4.25    6.31   8.44 12.5     101    1.12     155    0.88     387    1.49    4.50   12.45
  74430  387826 20250306 123006   10.97    3.46    6.34   8.44 12.4     101    1.13     156    0.89     389    1.44    4.67   12.42
  74430  387826 20250306 123022   11.90    2.44    6.43   8.44 12.4     101    1.17     161    0.92     406    1.47    4.82   12.41
  74430  387826 20250306 123039   12.90    0.75    6.43   8.43 12.4     101    1.20     165    0.94     421    1.36    4.72   12.36
