# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 07-03-2025 09:33:06
#X: 71500 - Y: 392060
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par4.dat
## TLU        oC <-->
## LUCHTDK    hPa <1016>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  71500  392060 20250307 93314    1.00   19.98    6.46   8.50 13.8     112    1.05     145    0.83     353    1.64    1.80   13.76
  71500  392060 20250307 93345    2.00   18.97    6.46   8.50 13.8     113    1.06     145    0.83     354    1.58    1.83   13.78
  71500  392060 20250307 93405    2.99   17.60    6.44   8.49 13.8     112    1.05     145    0.83     353    1.56    1.86   13.77
  71500  392060 20250307 93425    3.95   16.48    6.40   8.48 13.7     112    1.05     145    0.83     353    1.55    1.86   13.75
  71500  392060 20250307 93451    5.02   15.43    6.41   8.48 13.7     112    1.05     145    0.83     353    1.50    1.89   13.74
  71500  392060 20250307 93518    5.97   14.63    6.40   8.47 13.7     112    1.05     145    0.83     353    1.50    1.91   13.73
  71500  392060 20250307 93540    6.98   13.60    6.39   8.47 13.7     112    1.05     145    0.83     353    1.37    1.84   13.70
  71500  392060 20250307 93604    7.99   12.59    6.40   8.47 13.7     112    1.05     145    0.83     353    1.51    1.93   13.68
  71500  392060 20250307 93628    9.01   11.49    6.37   8.47 13.6     111    1.05     145    0.83     353    1.38    1.84   13.64
  71500  392060 20250307 93648    9.99   10.49    6.37   8.47 13.6     111    1.05     145    0.83     353    1.36    1.75   13.63
  71500  392060 20250307 93709   11.01    9.40    6.36   8.47 13.6     111    1.05     145    0.83     353    1.15    1.83   13.62
  71500  392060 20250307 93743   12.02    8.35    6.18   8.47 13.6     111    1.05     146    0.83     357    0.94    1.86   13.65
  71500  392060 20250307 93855   13.02    4.95    5.88   8.45 13.3     107    1.07     149    0.85     366    0.81    1.71   13.34
  71500  392060 20250307 94011   14.01    3.19    5.40   8.33 12.9     103    1.28     181    1.04     476    0.71    3.50   12.88
  71500  392060 20250307 94157   14.95    0.00    5.36   8.31 12.5     100    1.46     208    1.20     569    1.07   35.33   12.56
