# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 06-03-2025 10:24:11
#X: 80150 - Y: 408110
#00 DONARLOCATIE: ZTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par4.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  80150  408110 20250306 102419    0.99   16.30    6.06   8.23 12.0      97    0.77     107    0.60     227    0.85    2.63   12.02
  80150  408110 20250306 102434    1.96   15.33    6.04   8.23 12.0      97    0.77     107    0.60     226    0.91    2.54   12.00
  80150  408110 20250306 102451    2.98   14.31    6.02   8.23 12.0      97    0.77     107    0.60     227    0.88    2.64   12.01
  80150  408110 20250306 102508    3.98   13.30    6.04   8.23 12.0      97    0.77     107    0.60     227    0.88    2.50   12.01
  80150  408110 20250306 102522    4.98   12.31    6.03   8.23 12.0      97    0.77     107    0.60     227    0.89    2.52   12.01
  80150  408110 20250306 102536    6.09   11.08    6.03   8.23 12.0      97    0.77     107    0.60     228    0.88    2.57   12.01
  80150  408110 20250306 102549    7.05   10.08    6.01   8.24 12.0      97    0.77     107    0.60     228    0.85    2.60   12.01
  80150  408110 20250306 102604    8.00    9.13    6.00   8.23 12.0      97    0.77     107    0.60     228    0.89    2.55   12.00
  80150  408110 20250306 102620    9.04    8.05    6.01   8.24 12.0      97    0.77     107    0.60     228    0.84    2.60   12.00
  80150  408110 20250306 102653   10.07    6.89    5.96   8.24 12.0      97    0.83     115    0.65     254    0.82    2.36   12.00
  80150  408110 20250306 102707   11.01    5.98    5.95   8.25 12.0      97    0.84     117    0.66     261    0.79    2.38   12.00
  80150  408110 20250306 102721   12.01    4.99    5.88   8.25 12.0      97    0.87     121    0.68     274    0.80    2.50   12.00
  80150  408110 20250306 102745   13.01    3.86    5.76   8.25 11.9      96    0.90     127    0.72     289    0.73    2.68   11.94
  80150  408110 20250306 102758   14.08    2.75    5.70   8.25 11.9      96    0.92     130    0.73     300    0.74    2.67   11.93
  80150  408110 20250306 102820   14.93    1.93    5.67   8.24 11.9      95    0.95     134    0.76     313    0.75    2.83   11.85
  80150  408110 20250306 102848   15.97    0.83    5.66   8.23 11.7      94    0.96     135    0.77     318    0.74    3.15   11.73
