# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 30-05-2024 09:06:15
#X: 86043 - Y: 411537
#00 DONARLOCATIE: ZTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1006>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  86043  411537 20240530 90624    1.06    1.08   17.89   7.98 8.37      89    0.68      72    0.39     124    0.90    1.85   -0.59
  86042  411540 20240530 90652    1.96    1.95   17.89   7.98 8.37      89    0.68      72    0.39     124    0.83    1.70   -0.64
  86048  411540 20240530 90715    2.99    3.01   17.89   7.98 8.33      89    0.68      72    0.39     124    0.87    1.64   -0.59
  86059  411540 20240530 90743    4.06    4.09   17.89   7.96 8.27      88    0.68      71    0.39     124    0.90    1.83   -0.67
  86065  411541 20240530 90759    4.99    5.00   17.89   7.95 8.25      88    0.68      71    0.39     124    0.77    1.69   -0.63
  86074  411545 20240530 90821    5.93    5.93   17.89   7.97 8.24      88    0.68      71    0.39     124    0.79    1.67   -0.66
  86083  411548 20240530 90840    6.95    6.98   17.89   7.95 8.23      88    0.68      71    0.39     124    0.74    1.87   -0.60
  86094  411549 20240530 90902    7.95    7.95   17.89   7.97 8.23      88    0.68      71    0.39     124    0.81    1.92   -0.62
  86101  411546 20240530 90920    9.00    9.02   17.89   7.96 8.23      88    0.68      71    0.39     124    0.75    2.07   -0.65
  86102  411540 20240530 90934   10.11   10.10   17.87   7.96 8.20      87    0.68      72    0.39     124    0.75    2.53   -0.77
