# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 30-05-2024 09:40:18
#X: 80421 - Y: 408171
#00 DONARLOCATIE: ZTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1007>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  80421  408171 20240530 94032    0.96    0.97   17.39   7.65 7.77      82    0.62      66    0.36     110    1.14    2.49   -0.61
  80391  408159 20240530 94051    2.01    2.02   17.39   7.65 7.76      82    0.62      66    0.36     110    1.07    2.41   -0.52
  80383  408155 20240530 94112    3.01    3.01   17.39   7.66 7.76      82    0.63      66    0.36     111    1.13    2.43   -0.55
  80378  408152 20240530 94130    4.04    4.04   17.39   7.66 7.74      81    0.63      66    0.36     111    1.08    2.47   -0.65
  80375  408149 20240530 94145    4.97    4.96   17.39   7.66 7.74      81    0.63      66    0.36     111    1.08    2.22   -0.56
  80373  408147 20240530 94159    6.09    6.09   17.39   7.66 7.75      82    0.63      66    0.36     111    1.07    2.43   -0.66
  80370  408147 20240530 94218    7.05    7.05   17.39   7.66 7.75      82    0.63      66    0.36     111    1.09    2.46   -0.64
  80371  408142 20240530 94232    8.05    8.07   17.40   7.66 7.74      81    0.63      66    0.36     111    1.06    2.57   -0.55
  80371  408139 20240530 94252    9.09    9.05   17.40   7.65 7.73      81    0.63      67    0.36     112    1.07    2.47   -0.52
  80371  408138 20240530 94309   10.06   10.04   17.40   7.65 7.69      81    0.64      67    0.37     114    1.08    2.68   -0.54
  80364  408127 20240530 94342   11.01   11.03   17.43   7.64 7.55      80    0.70      74    0.40     131    1.18    3.02   -0.51
  80351  408121 20240530 94411   12.02   12.02   17.45   7.80 7.83      83    0.80      85    0.46     159    0.95    2.22   -0.59
  80340  408106 20240530 94501   12.99   12.99   17.50   7.98 8.21      87    0.95     100    0.55     206    0.77    1.64   -0.59
  80339  408101 20240530 94527   13.97   13.97   17.49   7.99 8.17      86    0.97     102    0.56     211    0.85    2.62   -0.60
