# VERTIKAAL 2 Delta
* 21-07-2025 08:43:06
#X: 48069 - Y: 396600
#00 DONARLOCATIE: VTS-16
#08 WAARNEMER(S): beukers
@ par1.dat
## LUCHTDK    hPa <1001>

~     X       Y    DATUM   TIJD SENSHTE       T     pH   O2     %O2   GELBH  SALNTT  PHYCOUGL
  48069  396600 20250721 84321    1.06   22.29   8.05 7.24      99   44.90   30.85     -0.93
  48069  396600 20250721 84339    2.00   22.21   8.01 7.12      98   44.92   30.92     -1.02
  48069  396600 20250721 84415    2.99   22.27   8.03 6.95      96   44.96   30.91     -0.93
  48069  396600 20250721 84444    3.97   22.27   7.98 6.55      90   45.17   31.07     -1.03
  48069  396600 20250721 84458    4.80   22.27   7.98 6.56      90   45.24   31.13     -1.01
  48069  396600 20250721 84518    6.13   22.30   7.97 6.49      89   45.57   31.36     -1.02
  48069  396600 20250721 84552    7.12   22.22   7.96 6.27      86   45.56   31.41     -1.11
  48069  396600 20250721 84613    8.27   22.15   7.95 6.12      84   45.54   31.44     -0.87
  48069  396600 20250721 84628    9.15   22.15   7.95 6.12      84   45.54   31.44     -1.12
  48069  396600 20250721 84651   10.16   22.12   7.96 6.23      86   45.51   31.44     -1.04
  48069  396600 20250721 84707   10.89   22.08   7.95 6.22      85   45.49   31.46     -1.10
  48069  396600 20250721 84738   12.31   22.05   7.94 5.95      82   45.50   31.48     -1.15
  48069  396600 20250721 84803   13.18   21.99   7.94 5.91      81   45.49   31.52     -1.08
