# VERTIKAAL 12 M.S. IJSSELMEER
* 13-05-2025 13:30:37
#X: 42820 - Y: 397321
#00 DONARLOCATIE: VTS-12
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat

~     X       Y    DATUM   TIJD       T   GELBH     %O2      pH SENSHTE CHLFRFU TROEBHFNU  CHLPHL  SALNTT     CL-   DICHT      O2   GELDHD
  42820  397321 20250513 133057   17.30   37.66     102    8.26    1.09    0.36    0.54    0.74   28.56   16134   20.55    8.36    3993
  42820  397321 20250513 133117   17.24   37.61     102    8.26    2.12    0.47    0.48    1.22   28.56   16131   20.56    8.35    3992
  42820  397321 20250513 133139   17.10   37.46     101    8.27    3.13    0.77    0.49    2.54   28.54   16122   20.58    8.35    3990
  42820  397321 20250513 133154   16.94   37.31     101    8.27    4.15    0.75    0.57    2.45   28.52   16110   20.60    8.32    3987
  42820  397321 20250513 133235   17.11   37.45     101    8.26    5.09    0.82    0.54    2.76   28.51   16105   20.55    8.26    3986
  42820  397321 20250513 133339   16.23   36.72      95    8.25    6.06    0.76    0.42    2.49   28.53   16122   20.77    7.92    3989
  42820  397321 20250513 133445   15.37   36.46      83    8.22    6.93    0.24    0.39    0.21   28.92   16347   21.25    7.01    4037
  42820  397321 20250513 133618   15.29   36.46      76    8.21    8.08    0.14    0.44   -0.23   28.99   16373   21.34    6.42    4043
  42820  397321 20250513 133727   15.26   36.82      73    8.18    8.87   -0.02    0.64   -0.93   29.32   16577   21.58    6.17    4087
  42820  397321 20250513 133743   15.26   36.84      73    8.18    9.94    0.03    0.71   -0.70   29.33   16583   21.59    6.16    4088
  
