# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 02-05-2024 09:56:05
#X: 80587 - Y: 408219
#00 DONARLOCATIE: ZTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par8.dat
## TLU        oC <-->
## LUCHTDK    hPa <998>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  80587  408219 20240502 95632    1.07    1.07   14.12   8.23 10.4     104    0.76      86    0.47     164    1.48    1.29   -0.39
  80506  408202 20240502 95715    2.00    2.01   13.89   8.20 10.3     102    0.77      88    0.49     170    1.37    1.23   -0.42
  80496  408201 20240502 95730    2.96    3.00   13.85   8.20 10.3     102    0.77      89    0.49     171    1.32    1.25   -0.41
  80485  408198 20240502 95749    3.97    3.99   13.77   8.19 10.3     101    0.78      89    0.49     173    1.31    1.24   -0.44
  80475  408196 20240502 95812    5.00    5.01   13.80   8.19 10.2     101    0.78      89    0.49     173    1.32    1.25   -0.43
  80468  408193 20240502 95828    6.00    6.00   13.68   8.18 10.2     101    0.79      91    0.50     178    1.22    1.27   -0.52
  80461  408194 20240502 95842    6.98    6.98   13.73   8.19 10.2     101    0.79      91    0.50     177    1.25    1.31   -0.45
  80441  408192 20240502 95933    7.97    7.97   12.42   8.14 9.91      95    0.99     117    0.65     260    0.84    0.97   -0.56
  80435  408192 20240502 95953    8.97    8.99   12.26   8.14 9.88      94    1.02     121    0.68     274    0.88    1.21   -0.47
  80426  408190 20240502 100023    9.97   10.00   12.34   8.14 9.81      94    1.00     119    0.67     268    0.83    1.20   -0.53
  80416  408181 20240502 100101   11.07   11.07   12.07   8.13 9.74      92    1.04     124    0.69     284    0.84    1.19   -0.47
