# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 02-05-2024 07:59:56
#X: 72487 - Y: 408750
#00 DONARLOCATIE: ZTS-12
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <999>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  72487  408750 20240502 75956    1.11    1.09   14.48   8.45    1.14     129    0.72     296    1.09    1.05   -0.55
  72496  408752 20240502 80003    1.88    1.97   14.45   8.45    1.14     129    0.72     296    0.92    0.88   -0.41
  72500  408753 20240502 80006    2.90    2.99   14.13   8.40    1.14     130    0.73     300    0.92    0.88   -0.56
  72501  408753 20240502 80010    3.97    4.09   14.05   8.38    1.14     130    0.73     301    0.93    0.90   -0.58
  72505  408755 20240502 80014    4.90    5.04   13.90   8.35    1.15     131    0.74     305    1.05    0.82   -0.42
  72508  408756 20240502 80018    6.03    6.14   13.45   8.34    1.16     134    0.75     313    1.09    0.88   -0.57
  72508  408756 20240502 80021    6.95    7.07   12.98   8.30    1.14     134    0.75     314    1.05    0.87   -0.48
  72511  408758 20240502 80025    7.88    7.93   12.48   8.27    1.14     135    0.76     318    1.02    0.91   -0.46
  72514  408759 20240502 80029    8.91    8.98   12.20   8.24    1.16     139    0.78     331    1.02    0.86   -0.51
  72516  408760 20240502 80033    9.92   10.02   12.17   8.21    1.35     161    0.91     406    0.93    0.92   -0.50
  72518  408761 20240502 80038   10.90   10.93   12.47   8.20    1.60     190    1.09     508    0.81    0.87   -0.56
