# VERTIKAAL 14 M.C.ECOS 8 VERTIKAAL
* 02-05-2024 12:22:37
#X: 71516 - Y: 392050
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par14.dat
## TLU        oC <-->
## LUCHTDK    hPa <998>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71516  392050 20240502 122245    1.03    1.04   15.68   8.25 10.4     107    1.22     134    0.75     316    1.06    0.91   -0.54
  71509  392068 20240502 122349    1.98    2.01   14.61   8.21 10.3     104    1.17     132    0.74     308    1.17    1.04   -0.58
  71510  392066 20240502 122410    2.98    2.99   14.62   8.21 10.3     104    1.18     133    0.74     310    1.13    1.08   -0.61
  71514  392057 20240502 122442    3.98    3.97   14.42   8.20 10.2     103    1.17     132    0.74     309    1.10    1.05   -0.57
  71525  392052 20240502 122531    5.05    5.06   13.73   8.21 10.3     102    1.16     134    0.75     314    0.94    1.02   -0.60
  71532  392055 20240502 122609    5.97    5.97   13.08   8.18 10.2      99    1.15     134    0.75     315    0.92    1.00   -0.68
  71545  392053 20240502 122656    7.03    7.01   12.67   8.16 10.0      97    1.15     136    0.76     320    0.91    1.07   -0.52
  71548  392055 20240502 122710    8.03    8.03   12.30   8.14 10.0      96    1.15     137    0.77     326    0.87    0.92   -0.56
  71554  392044 20240502 122750    9.05    9.04   11.91   8.13 9.82      93    1.15     139    0.78     330    0.83    0.98   -0.63
  71551  392039 20240502 122804   10.02   10.01   11.81   8.13 9.80      92    1.17     140    0.79     336    0.82    1.17   -0.55
  71548  392028 20240502 122823   11.04   11.06   11.70   8.12 9.76      92    1.17     141    0.80     339    0.88    1.08   -0.45
  71541  392017 20240502 122847   12.15   12.15   11.73   8.11 9.67      91    1.20     144    0.81     349    0.85    1.17   -0.55
  71538  392009 20240502 122902   12.93   12.92   11.79   8.10 9.64      91    1.36     164    0.93     416    0.82    1.22   -0.52
  71539  391999 20240502 122922   14.03   14.05   11.81   8.10 9.60      91    1.51     182    1.04     480    0.95    1.28   -0.67
  71539  392000 20240502 122936   15.07   15.09   11.84   8.09 9.57      90    1.62     195    1.11     525    0.86    1.35   -0.53
  71540  391989 20240502 123013   15.95   15.94   11.86   8.06 9.32      88    1.91     230    1.33     647    0.85    1.37   -0.55
