# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 02-05-2024 09:21:32
#X: 86040 - Y: 411414
#00 DONARLOCATIE: ZTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par8.dat
## TLU        oC <-->
## LUCHTDK    hPa <998>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  86040  411414 20240502 92140    0.97    0.98   12.99   8.07 9.80      95    0.65      76    0.42     137    0.94    1.37   -0.45
  86041  411409 20240502 92206    2.02    2.02   12.95   8.06 9.79      94    0.65      76    0.42     137    1.02    1.41   -0.40
  86041  411408 20240502 92230    3.08    3.09   12.90   8.06 9.78      94    0.65      76    0.42     136    0.94    1.49   -0.52
  86039  411407 20240502 92247    3.96    3.98   12.84   8.06 9.77      94    0.65      76    0.42     136    0.94    1.50   -0.59
  86041  411408 20240502 92350    4.98    4.99   12.15   8.04 9.51      90    0.64      76    0.42     136    0.95    1.78   -0.49
  86054  411409 20240502 92411    5.97    5.97   12.17   8.03 9.52      90    0.64      76    0.42     136    0.95    1.71   -0.48
  86064  411412 20240502 92433    6.99    6.99   12.15   8.04 9.58      91    0.64      76    0.42     137    0.92    1.75   -0.51
  86068  411412 20240502 92448    7.98    7.97   12.09   8.03 9.54      90    0.64      76    0.42     137    0.94    1.74   -0.50
  86076  411415 20240502 92524    9.95    9.97   11.78   8.02 9.33      88    0.63      76    0.42     137    0.84    2.12   -0.51
  86079  411416 20240502 92558   10.03   10.05   11.74   8.02 9.21      87    0.63      76    0.42     136    0.80    2.25   -0.58
  86079  411418 20240502 92640   11.03   11.02   11.69   8.01 9.10      85    0.63      76    0.42     136    0.86    2.74   -0.53
  86077  411420 20240502 92718   12.05   12.06   11.63   8.00 8.97      84    0.63      76    0.42     136    0.89    2.94   -0.52
