# VERTIKAAL 5 M.C.ECOS 6 VERTIKAAL
* 15-11-2024 10:46:31
#X: 44400 - Y: 396350
#00 DONARLOCATIE: VTS-13
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1029>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  44400  396350 20241115 104631    1.03    5.56   10.63   8.07    1.30     162    0.92     409    0.68    0.70    0.33
  44400  396350 20241115 104638    1.91    4.40   10.63   8.06    1.33     164    0.93     418    0.66    0.76    0.15
  44400  396350 20241115 104641    2.96    3.46   10.63   8.05    1.39     172    0.98     445    0.67    0.83    0.36
  44400  396350 20241115 104643    3.96    2.50   10.63   8.04    1.48     183    1.05     484    0.64    0.79    0.24
  44400  396350 20241115 104645    4.90    1.89   10.62   8.03    1.58     196    1.12     529    0.68    0.86    0.23
  44400  396350 20241115 104654    5.95    0.76   10.62   8.03    1.73     214    1.23     592    0.62    0.84    0.26
