# VERTIKAAL 18 M.C.ECOS 6 VERTIKAAL
* 14-11-2024 16:01:11
#X: 79318 - Y: 374362
#00 DONARLOCATIE: ZTS-45
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par18.dat
## TLU        oC <-->
## LUCHTDK    hPa <1029>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  79318  374362 20241114 160113    0.70    5.45   14.32   7.92   10.32    1171    7.49    4169    0.44    4.83    0.17
  79318  374362 20241114 160121    1.94    3.78   14.31   7.93   10.33    1172    7.50    4174    0.50    4.81    0.04
  79318  374362 20241114 160123    2.96    2.93   14.31   7.93   10.33    1172    7.50    4175    0.51    4.67    0.03
  79318  374362 20241114 160126    4.03    1.85   14.30   7.92   10.40    1180    7.56    4205    0.44    4.85    0.06
  79318  374362 20241114 160128    4.90    1.05   14.30   7.92   10.49    1191    7.63    4246    0.53    4.78    0.22
