# VERTIKAAL 7 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 10:41:56
#X: 50200 - Y: 420480
#00 DONARLOCATIE: GTS-22
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  50200  420480 20250506 104204    0.99   16.36   14.53   8.45 8.38      98   36.08    4073   29.20   16515    0.47    0.60
  50200  420480 20250506 104222    2.04   15.38   14.53   8.45 8.41      98   36.08    4073   29.21   16517    0.69    0.60
  50200  420480 20250506 104237    3.01   14.56   14.51   8.44 8.40      98   36.06    4071   29.19   16510    0.70    0.58
  50200  420480 20250506 104256    4.03   13.54   14.50   8.44 8.39      98   36.06    4072   29.20   16514    0.67    0.64
  50200  420480 20250506 104311    5.00   12.94   14.47   8.44 8.39      97   36.03    4072   29.20   16514    0.72    0.57
  50200  420480 20250506 104326    6.04   12.50   14.47   8.44 8.37      97   36.02    4071   29.19   16507    0.70    0.51
  50200  420480 20250506 104342    7.06   11.68   14.42   8.44 8.37      97   35.99    4073   29.21   16517    0.61    0.64
  50200  420480 20250506 104356    8.05   10.53   14.37   8.44 8.37      97   35.95    4073   29.21   16518    0.74    0.60
  50200  420480 20250506 104410    9.02    9.73   14.29   8.44 8.36      97   35.91    4075   29.23   16529    0.67    0.70
  50200  420480 20250506 104424   10.04    8.81   14.27   8.44 8.33      96   35.90    4075   29.23   16529    0.62    0.65
  50200  420480 20250506 104439   11.06    7.81   14.26   8.44 8.31      96   35.89    4076   29.23   16532    0.66    0.61
  50200  420480 20250506 104507   12.05    6.33   14.25   8.44 8.31      96   35.89    4076   29.23   16533    0.59    0.61
  50200  420480 20250506 104522   13.02    5.15   14.24   8.43 8.29      96   35.89    4077   29.24   16537    0.60    0.61
  50200  420480 20250506 104559   14.03    3.94   14.26   8.43 8.31      96   35.89    4076   29.23   16532    0.62    0.74
  50200  420480 20250506 104614   14.98    3.13   14.25   8.43 8.30      96   35.88    4076   29.23   16534    0.71    0.49
  50200  420480 20250506 104628   16.05    2.55   14.24   8.43 8.29      96   35.88    4077   29.24   16537    0.58    0.63
  50200  420480 20250506 104652   17.01    3.18   14.24   8.43 8.31      96   35.88    4077   29.24   16535    0.60    0.65
  50200  420480 20250506 104706   18.00    2.19   14.23   8.43 8.30      96   35.87    4077   29.24   16537    0.64    0.73
  50200  420480 20250506 104720   19.02    1.04   14.23   8.43 8.29      96   35.88    4078   29.24   16539    0.59    0.65
