# VERTIKAAL 2 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 08:54:35
#X: 47960 - Y: 418357
#00 DONARLOCATIE: GTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  47960  418357 20250506 85443    0.98   14.84   15.13   8.46 8.56     101   36.74    4090   29.34   16592    1.02    1.05
  47960  418357 20250506 85506    2.01   14.18   15.13   8.46 8.57     101   36.75    4090   29.34   16594    1.21    1.03
  47960  418357 20250506 85523    3.00   12.96   15.13   8.46 8.57     101   36.75    4090   29.34   16594    1.29    1.06
  47960  418357 20250506 85554    4.04   12.25   15.13   8.46 8.59     101   36.75    4091   29.34   16595    1.24    1.07
  47960  418357 20250506 85618    4.98   11.83   15.13   8.46 8.58     101   36.75    4091   29.35   16597    1.14    0.86
  47960  418357 20250506 85642    6.01   10.98   15.13   8.46 8.57     101   36.74    4091   29.35   16596    1.16    0.89
  47960  418357 20250506 85659    7.02   10.04   15.12   8.46 8.58     101   36.74    4091   29.35   16596    1.29    0.89
  47960  418357 20250506 85721    8.02    9.53   15.13   8.46 8.57     101   36.75    4091   29.35   16596    1.29    0.86
  47960  418357 20250506 85737    9.00    8.76   15.12   8.46 8.58     101   36.74    4091   29.35   16597    1.27    0.85
  47960  418357 20250506 85810   10.02    7.95   15.12   8.46 8.52     100   36.75    4092   29.36   16602    1.09    1.07
  47960  418357 20250506 85834   11.00    7.18   15.09   8.45 8.48     100   36.74    4094   29.37   16609    1.07    1.14
  47960  418357 20250506 85946   11.98    6.24   14.74   8.39 7.75      91   36.57    4107   29.48   16673    1.42    2.64
  47960  418357 20250506 90114   13.05    4.91   12.20   8.19 5.64      63   35.01    4173   30.01   16990    0.69    1.30
  47960  418357 20250506 90201   14.03    3.84   11.46   8.11 4.74      52   34.22    4153   29.85   16900    0.48    1.31
  47960  418357 20250506 90331   14.96    3.03    9.31   7.91 2.64      28   32.53    4163   29.94   16959    0.48    1.70
  47960  418357 20250506 90417   16.03    2.29    8.75   7.92 3.34      35   32.00    4154   29.87   16916    0.34    0.83
  47960  418357 20250506 90514   17.01    0.80    8.42   7.87 2.92      30   31.72    4151   29.85   16908    0.27    0.89
