# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 10:56:39
#X: 51400 - Y: 421750
#00 DONARLOCATIE: GTS-23
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  51400  421750 20250506 105647    1.01   19.99   14.71   8.45 8.51      99   36.22    4071   29.19   16507    1.09    0.69
  51400  421750 20250506 105702    2.00   17.59   14.71   8.45 8.52      99   36.22    4071   29.19   16507    0.83    0.68
  51400  421750 20250506 105716    3.02   16.25   14.71   8.45 8.52     100   36.22    4071   29.19   16507    0.80    0.57
  51400  421750 20250506 105731    4.00   14.98   14.70   8.45 8.52      99   36.22    4071   29.19   16508    0.82    0.61
  51400  421750 20250506 105745    5.03   13.91   14.70   8.45 8.52      99   36.21    4071   29.19   16507    0.90    0.79
  51400  421750 20250506 105800    6.03   12.88   14.62   8.45 8.49      99   36.17    4073   29.21   16519    0.83    0.66
  51400  421750 20250506 105826    6.97   11.89   14.50   8.44 8.40      98   36.08    4075   29.22   16526    0.84    0.56
  51400  421750 20250506 105840    8.01   10.85   14.48   8.44 8.39      98   36.06    4075   29.22   16524    0.74    0.64
  51400  421750 20250506 105855    9.02    9.90   14.45   8.44 8.38      97   36.04    4075   29.23   16528    0.76    0.66
  51400  421750 20250506 105909   10.07    8.85   14.41   8.43 8.35      97   36.04    4080   29.26   16549    0.73    0.75
  51400  421750 20250506 105957   11.03    7.83   14.17   8.41 8.07      93   35.97    4094   29.37   16614    0.66    0.60
  51400  421750 20250506 110020   12.01    6.81   14.11   8.40 8.01      92   35.94    4097   29.40   16628    0.64    0.67
  51400  421750 20250506 110103   13.04    5.55   14.03   8.39 7.85      91   35.92    4102   29.44   16652    0.56    0.68
  51400  421750 20250506 110202   13.99    4.53   13.90   8.36 7.44      86   35.84    4105   29.46   16667    0.66    0.73
  51400  421750 20250506 110326   15.03    3.06   13.24   8.31 6.90      78   35.49    4127   29.64   16772    0.48    0.87
  51400  421750 20250506 110341   16.04    1.58   13.23   8.31 6.88      78   35.49    4128   29.65   16777    0.35    0.90
  51400  421750 20250506 110404   16.95    0.50   13.21   8.31 6.84      78   35.48    4129   29.66   16782    0.28    0.94
