# VERTIKAAL 12 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 12:16:03
#X: 60100 - Y: 419750
#00 DONARLOCATIE: GTS-27
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  60100  419750 20250506 121612    0.98   10.60   13.61   8.41 8.36      95   35.44    4086   29.31   16582    0.41    0.87
  60100  419750 20250506 121626    1.97    9.59   13.59   8.41 8.36      96   35.42    4085   29.31   16578    0.47    0.89
  60100  419750 20250506 121640    3.02    8.50   13.57   8.41 8.36      96   35.40    4086   29.31   16581    0.53    0.80
  60100  419750 20250506 121654    4.04    7.48   13.55   8.41 8.36      95   35.38    4085   29.31   16579    0.56    0.89
  60100  419750 20250506 121708    5.03    6.66   13.43   8.40 8.35      95   35.30    4088   29.33   16590    0.57    0.99
  60100  419750 20250506 121728    6.05    5.65   13.25   8.39 8.32      94   35.16    4088   29.33   16593    0.56    0.98
  60100  419750 20250506 121807    7.04    4.53   13.00   8.38 8.35      94   34.99    4093   29.37   16616    0.45    0.96
  60100  419750 20250506 121825    8.05    3.63   13.11   8.38 8.31      94   35.12    4098   29.41   16639    0.52    0.99
  60100  419750 20250506 121850    9.02    2.46   13.03   8.38 8.43      95   35.09    4102   29.44   16658    0.48    0.82
  60100  419750 20250506 121909   10.00    1.21   12.98   8.38 8.45      95   35.11    4109   29.50   16689    0.40    0.98
