# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 10:06:12
#X: 50728 - Y: 418381
#00 DONARLOCATIE: GTS-05
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  50728  418381 20250506 100620    0.98   26.09   14.78   8.45 8.48      99   36.47    4092   29.36   16604    0.85    0.73
  50728  418381 20250506 100635    2.03   25.13   14.77   8.45 8.46      99   36.46    4092   29.36   16605    1.07    0.87
  50728  418381 20250506 100650    3.05   24.39   14.77   8.45 8.47      99   36.47    4093   29.36   16607    0.99    0.91
  50728  418381 20250506 100709    4.02   23.98   14.74   8.45 8.45      99   36.44    4093   29.37   16609    1.02    0.84
  50728  418381 20250506 100731    5.02   22.98   14.68   8.44 8.39      98   36.40    4094   29.37   16612    0.92    0.93
  50728  418381 20250506 100753    6.02   22.14   14.59   8.44 8.32      97   36.32    4093   29.37   16610    0.84    0.93
  50728  418381 20250506 100842    7.04   21.12   14.57   8.43 8.24      96   36.31    4094   29.37   16614    0.89    0.93
  50728  418381 20250506 100856    8.04   20.29   14.58   8.43 8.23      96   36.33    4095   29.38   16619    0.79    0.84
  50728  418381 20250506 100919    9.02   19.77   14.57   8.43 8.19      96   36.32    4096   29.39   16621    0.80    0.81
  50728  418381 20250506 100934   10.01   18.99   14.39   8.42 8.17      95   36.17    4096   29.39   16622    0.69    0.85
  50728  418381 20250506 101007   11.02   18.47   14.40   8.39 7.89      92   36.47    4128   29.65   16773    1.21    1.06
  50728  418381 20250506 101042   11.98   17.63   13.65   8.34 7.69      88   36.15    4165   29.94   16945    0.62    0.68
  50728  418381 20250506 101122   13.04   16.85   12.56   8.30 7.13      80   35.28    4170   29.99   16974    0.49    0.68
  50728  418381 20250506 101220   13.98    0.00   11.59   8.24 6.60      73   34.43    4165   29.95   16957    0.33    0.62
  50728  418381 20250506 101237   14.99   15.13   10.57   8.20 6.56      71   33.57    4164   29.95   16958    0.44    0.58
  50728  418381 20250506 101256   15.99    0.00   10.07   8.18 6.44      69   33.06    4151   29.84   16897    0.52    0.56
  50728  418381 20250506 101345   16.96    0.00    9.21   8.16 6.45      67   32.34    4149   29.83   16893    0.32    0.37
  50728  418381 20250506 101447   18.04    9.36    8.45   8.08 5.82      60   31.68    4144   29.79   16873    0.25    0.61
  50728  418381 20250506 101502   19.06   11.45    7.98   8.05 5.78      59   31.30    4143   29.79   16873    0.33    0.63
  50728  418381 20250506 101542   19.98   10.70    7.85   8.03 5.45      55   31.17    4140   29.77   16860    0.40    0.60
  50728  418381 20250506 101620   20.99    9.81    7.67   8.01 5.31      53   31.03    4141   29.77   16862    0.41    0.76
  50728  418381 20250506 101728   22.01    9.13    7.50   7.95 4.63      46   30.88    4139   29.76   16854    0.41    0.86
  50728  418381 20250506 101749   23.04    8.09    7.37   7.95 4.60      46   30.78    4139   29.76   16856    0.69    0.75
  50728  418381 20250506 101817   23.97    7.96    7.31   7.94 4.57      46   30.71    4137   29.74   16847    0.50    0.86
  50728  418381 20250506 101904   25.09    6.76    7.11   7.95 4.80      48   30.53    4135   29.73   16838    0.41    0.82
  50728  418381 20250506 101926   26.05    5.85    7.07   7.95 4.85      48   30.49    4133   29.71   16829    0.70    0.84
  50728  418381 20250506 101945   27.04    4.91    7.07   7.95 4.86      48   30.50    4134   29.72   16834    0.42    1.06
  50728  418381 20250506 102047   27.98    4.26    6.91   7.96 5.03      50   30.35    4132   29.70   16823    1.83    0.99
  50728  418381 20250506 102119   29.06    3.24    6.82   7.95 5.05      50   30.27    4130   29.69   16819    0.71    1.24
  50728  418381 20250506 102140   30.04    1.34    6.84   7.94 5.01      49   30.29    4130   29.69   16818    0.77    1.04
