# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 07:46:56
#X: 46358 - Y: 370360
#00 DONARLOCATIE: KTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  46358  370360 20250509 74709    0.97    0.00   15.90   8.12 9.04      94    8.97     981    6.19    3440    0.94    2.94
  46358  370360 20250509 74723    1.98   10.51   15.96   8.11 9.03      94    9.06     990    6.25    3472    0.88    3.06
  46358  370360 20250509 74746    3.13   11.15   15.97   8.11 9.02      94    9.27    1013    6.40    3558    0.81    2.80
  46358  370360 20250509 74807    4.01   10.44   15.99   8.11 9.02      94    9.38    1024    6.48    3600    0.80    2.83
  46358  370360 20250509 74821    4.96    9.54   16.07   8.11 9.01      95    9.67    1054    6.68    3713    0.84    2.79
  46358  370360 20250509 74841    6.05    8.71   16.05   8.11 9.01      95    9.98    1088    6.92    3847    0.91    2.91
  46358  370360 20250509 74854    7.10    7.75   16.04   8.11 9.02      95   10.22    1115    7.10    3948    0.90    2.88
  46358  370360 20250509 74910    8.04    6.76   16.00   8.10 9.02      95   10.81    1180    7.55    4198    0.87    3.88
  46358  370360 20250509 74927    9.02    5.70   15.97   8.10 9.02      95   11.10    1212    7.77    4324    0.84    5.10
  46358  370360 20250509 74944   10.05    4.39   15.92   8.10 9.01      95   11.70    1280    8.24    4586    0.77    4.57
  46358  370360 20250509 74958   11.03    3.34   15.87   8.09 8.98      95   12.03    1317    8.50    4731    0.70    3.80
  46358  370360 20250509 75048   11.97    2.14   15.55   8.07 8.67      92   14.75    1627   10.69    5958    0.65    3.57
  46358  370360 20250509 75110   13.01    1.13   15.25   8.07 8.46      91   18.18    2018   13.50    7546    0.70    3.95
