# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 08:08:33
#X: 46955 - Y: 367427
#00 DONARLOCATIE: KTS-05
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  46955  367427 20250509 80849    1.01   12.70   15.45   8.11 9.14      94    8.08     893    5.60    3108    1.11    3.32
  46955  367427 20250509 80910    1.98    0.00   15.44   8.11 9.14      94    8.09     894    5.60    3112    1.01    3.23
  46955  367427 20250509 80932    3.07   10.90   15.49   8.11 9.12      94    8.14     899    5.63    3130    0.97    3.46
  46955  367427 20250509 80946    4.00   10.19   15.54   8.11 9.10      94    8.22     906    5.68    3158    0.98    3.56
  46955  367427 20250509 81004    4.96    9.43   15.54   8.11 9.08      94    8.22     907    5.69    3158    0.99    3.42
  46955  367427 20250509 81021    6.06    8.43   15.59   8.10 9.08      94    8.29     914    5.73    3185    1.08    3.34
  46955  367427 20250509 81040    7.05    7.53   15.68   8.10 9.04      94    8.52     937    5.89    3273    1.02    3.26
  46955  367427 20250509 81108    8.02    4.90   15.85   8.09 8.98      94    9.23    1011    6.39    3551    0.96    3.02
  46955  367427 20250509 81123    9.09    5.59   15.94   8.09 8.95      94    9.86    1078    6.85    3806    0.93    2.99
  46955  367427 20250509 81140   10.09    4.48   15.96   8.09 8.95      94   10.20    1115    7.10    3947    0.80    3.00
  46955  367427 20250509 81155   11.02    3.41   15.94   8.09 8.94      94   10.87    1188    7.60    4229    0.79    3.13
  46955  367427 20250509 81211   11.94    2.65   15.86   8.08 8.90      94   11.82    1295    8.35    4645    0.72    3.18
  46955  367427 20250509 81329   14.05    0.75   15.31   8.05 8.33      89   17.52    1943   12.96    7238    0.54    5.63
  46955  367427 20250509 81334   14.00    0.75   15.31   8.05 8.32      89   17.51    1942   12.95    7234    0.58    6.01
