# VERTIKAAL 7 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 08:43:09
#X: 44865 - Y: 362025
#00 DONARLOCATIE: KTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  44865  362025 20250509 84323    0.98   10.70   15.36   8.08 8.86      91    7.06     782    4.85    2695    1.79    5.44
  44865  362025 20250509 84344    1.96   10.45   15.41   8.07 8.83      90    7.10     785    4.88    2707    1.55    5.71
  44865  362025 20250509 84407    2.98    8.99   15.41   8.07 8.80      90    7.15     791    4.91    2727    1.58    5.24
  44865  362025 20250509 84429    4.04    5.74   15.41   8.07 8.80      90    7.16     792    4.92    2732    1.51    5.38
  44865  362025 20250509 84443    5.00    7.46   15.41   8.07 8.80      90    7.20     796    4.95    2746    1.50    5.35
  44865  362025 20250509 84457    6.03    6.40   15.43   8.07 8.78      90    7.31     809    5.03    2793    1.58    5.44
  44865  362025 20250509 84511    7.01    5.45   15.46   8.07 8.77      90    7.44     822    5.12    2843    1.56    5.61
  44865  362025 20250509 84532    8.07    4.50   15.50   8.06 8.74      90    7.84     866    5.41    3006    1.48    5.07
  44865  362025 20250509 84558    9.05    3.54   15.61   8.05 8.64      90    9.17    1010    6.39    3549    1.12    5.89
  44865  362025 20250509 84628    9.99    3.33   15.67   8.05 8.53      89    9.91    1090    6.93    3852    0.96    4.97
  44865  362025 20250509 84731   11.01    2.03   15.69   8.03 8.24      86   11.00    1209    7.75    4312    0.78    6.38
  44865  362025 20250509 84747   11.91    1.13   15.70   8.03 8.22      86   11.08    1218    7.81    4346    0.81    6.50
