# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 10:12:30
#X: 39083 - Y: 346347
#00 DONARLOCATIE: KTS-11
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1021>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  39083  346347 20250509 101300    1.04   12.71   15.60   8.12 9.24      93    2.46     270    1.57     774    4.05    7.21
  39083  346347 20250509 101339    1.98   11.79   15.56   8.03 8.52      86    2.83     312    1.82     918    2.82    8.11
  39083  346347 20250509 101435    2.99   10.81   15.56   7.99 7.89      80    3.23     356    2.10    1072    2.10    7.42
  39083  346347 20250509 101520    3.94    9.71   15.46   7.96 7.55      76    3.46     382    2.26    1163    1.75    8.24
  39083  346347 20250509 101556    5.05    8.63   15.41   7.93 7.25      73    3.64     402    2.39    1234    1.67    9.31
  39083  346347 20250509 101639    6.07    7.21   15.39   7.92 6.95      70    3.75     415    2.47    1280    1.52    9.47
  39083  346347 20250509 101710    7.02    5.99   15.37   7.90 6.82      69    3.83     424    2.52    1310    1.41   10.59
  39083  346347 20250509 101734    8.00    5.05   15.37   7.90 6.74      68    3.85     426    2.54    1319    1.52   11.43
  39083  346347 20250509 101804    9.05    4.03   15.37   7.88 6.57      66    4.02     445    2.66    1385    1.54   15.48
  39083  346347 20250509 101850   10.06    2.94   15.31   7.84 6.09      61    4.26     472    2.83    1480    1.53   15.09
  39083  346347 20250509 101904   11.08    1.95   15.34   7.83 6.07      61    4.41     489    2.94    1629    1.65   21.33
  39083  346347 20250509 101917   11.98    0.98   15.32   7.82 6.05      61    4.60     510    3.07    1704    1.77   28.56
