# VERTIKAAL 10 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 09:53:23
#X: 40663 - Y: 348850
#00 DONARLOCATIE: KTS-10
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1021>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  40663  348850 20250509 95337    1.02   11.04   15.39   7.98 7.66      77    3.77     418    2.49    1288    2.30    8.60
  40663  348850 20250509 95405    2.02    9.00   15.38   7.97 7.59      76    3.82     423    2.52    1307    2.26    8.38
  40663  348850 20250509 95422    3.06   11.36   15.38   7.98 7.60      77    3.94     436    2.60    1352    2.62    8.28
  40663  348850 20250509 95449    4.01    0.00   15.37   7.99 7.74      78    4.01     444    2.65    1382    3.26    7.66
  40663  348850 20250509 95514    5.00    9.40   15.45   7.97 7.66      77    4.16     460    2.75    1438    2.94    8.12
  40663  348850 20250509 95550    6.01    8.46   15.38   7.96 7.51      76    4.32     478    2.87    1503    2.74    6.42
  40663  348850 20250509 95627    7.00    6.18   15.26   7.95 7.37      74    4.34     482    2.90    1605    2.76    5.99
  40663  348850 20250509 95659    8.05    6.40   15.28   7.93 7.20      73    4.53     503    3.03    1678    2.08    6.63
  40663  348850 20250509 95716    8.90    5.29   15.29   7.93 7.21      73    4.54     503    3.03    1680    1.99    6.55
  40663  348850 20250509 95740   10.06    4.11   15.34   7.93 7.08      72    4.87     540    3.27    1811    1.75    7.35
  40663  348850 20250509 95758   10.92    2.96   15.34   7.93 7.18      73    5.18     573    3.48    1932    1.61    7.51
  40663  348850 20250509 95839   11.92    2.28   15.32   7.91 6.98      71    5.52     611    3.73    2069    1.33    9.55
  40663  348850 20250509 95909   12.91    1.26   15.32   7.92 7.13      72    5.86     650    3.98    2208    1.29   12.22
