# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 09:32:35
#X: 42636 - Y: 352113
#00 DONARLOCATIE: KTS-09
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1021>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  42636  352113 20250509 93243    1.07   12.63   15.35   8.01 8.16      82    4.63     513    3.09    1713    3.17    6.55
  42636  352113 20250509 93259    2.04    0.00   15.31   8.01 8.14      82    4.72     523    3.16    1750    2.83    6.17
  42636  352113 20250509 93317    3.00   10.74   15.30   8.01 8.16      82    4.75     527    3.18    1765    3.21    5.62
  42636  352113 20250509 93332    3.98    9.64   15.30   8.01 8.16      82    4.76     528    3.19    1769    3.28    6.13
  42636  352113 20250509 93357    4.94    8.70   15.26   8.01 8.16      82    4.76     529    3.20    1772    3.09    6.25
  42636  352113 20250509 93442    5.94    7.78   15.16   8.02 8.35      84    4.79     533    3.22    1787    3.31    5.59
  42636  352113 20250509 93502    6.99    6.64   15.25   8.02 8.41      85    4.88     541    3.28    1817    3.35    5.13
  42636  352113 20250509 93534    7.96    5.65   15.35   8.01 8.25      84    5.46     605    3.69    2046    2.17    5.75
  42636  352113 20250509 93556    8.99    4.66   15.35   8.01 8.31      84    5.51     610    3.72    2064    2.40    5.99
  42636  352113 20250509 93614   10.06    3.54   15.35   8.02 8.34      85    5.49     609    3.71    2059    2.36    5.70
  42636  352113 20250509 93629   10.98    2.70   15.35   8.02 8.36      85    5.51     610    3.72    2065    2.46    5.85
  42636  352113 20250509 93654   12.07    1.61   15.37   8.01 8.28      84    5.86     649    3.97    2204    1.84    6.41
     --      -- 20250509 93815   13.00    0.75   15.34   7.96 7.69      78    6.12     678    4.17    2313    1.33    7.54
