# VERTIKAAL 2 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 07:40:17
#X: 46161 - Y: 370929
#00 DONARLOCATIE: KTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  46161  370929 20250509 74031    1.03   13.66   15.89   8.12 9.04      94    9.08     993    6.27    3485    0.95    2.75
  46161  370929 20250509 74046    1.96   12.99   15.92   8.12 9.04      94    9.20    1006    6.36    3535    0.86    2.80
  46161  370929 20250509 74104    3.00   10.34   15.98   8.12 9.04      95    9.48    1036    6.56    3645    0.92    2.97
  46161  370929 20250509 74118    3.95   10.65   16.02   8.11 9.04      95    9.68    1056    6.69    3721    0.83    2.87
  46161  370929 20250509 74136    4.99    9.55   16.03   8.12 9.06      95    9.94    1084    6.89    3830    0.92    3.05
  46161  370929 20250509 74149    6.07    8.30   16.04   8.12 9.08      95   10.04    1095    6.96    3871    0.85    3.19
  46161  370929 20250509 74203    7.01    7.19   16.04   8.12 9.09      96   10.11    1102    7.01    3900    0.84    3.16
  46161  370929 20250509 74215    8.02    6.18   16.03   8.11 9.06      95   10.33    1126    7.18    3992    0.87    3.26
  46161  370929 20250509 74234    9.04    5.13   16.00   8.11 9.04      95   10.74    1172    7.50    4170    0.85    4.21
  46161  370929 20250509 74247   10.06    4.08   15.96   8.10 9.02      95   11.28    1232    7.91    4401    0.82    5.13
  46161  370929 20250509 74301   11.07    2.90   15.91   8.10 9.01      95   11.76    1286    8.28    4610    0.75    6.07
  46161  370929 20250509 74328   12.07    1.69   15.47   8.08 8.80      94   16.13    1782   11.79    6582    0.60    3.84
  46161  370929 20250509 74349   13.00    0.91   15.30   8.09 8.71      94   18.00    1996   13.34    7456    0.64    4.07
